#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1              1              0              2              0            363             10
              1            211              0              2              0          133.7           9.93
              1            321              0              2              0           23.7           2.86
              1           -321              0              2              0           3.76           0.47
              1           3122              0              2              0           18.1            1.9
              1          -3122              0              2              0          0.017          0.005
              1           2212            211              2              2           1.23           0.13
