#T[MeV]             chi2B                error                   chi4B                 error                  chi6B                  error                 chi8B                  error               
135.00399959677637  0.03455520544322781  0.0005175927701913073   0.0351801998632726    0.002773226784343205   0.03471852827696656    0.014012646992709293  0.012022734928307133   0.05034575248608553 
140.00899959946722  0.04703953187087057  0.0007102346666695361   0.04558430955792181   0.0037864501028876986  0.045439512440588234   0.023354413068118654  0.043765225590437024   0.0859459837927258  
144.99599984408388  0.06283537408983061  0.0006388565140153825   0.06024857010176987   0.0030063456480532748  0.042706721286821694   0.015468541459522547  -0.03804687051221842   0.059445035294234755
149.98599952418604  0.08168311946745813  0.0008469307743137061   0.0714190770118014    0.003846064823627246   0.03887764273353722    0.021342022627415302  -0.039283882698167266  0.08222545903938508 
155.00599984946558  0.10519942182269207  0.0007278408434644099   0.08492267180586696   0.004100791553665398   0.028449783316267296   0.022541207330110113  -0.07195696823801194   0.0853254382414496  
160.01099985215646  0.12893945821961     0.0007675673823477891   0.08857469212917356   0.0039727449122045205  -0.0330323468331387    0.02199642786445534   -0.2439466696618332    0.08313285653198173 
164.9910000161242   0.15184741965445947  0.0006107261356032012   0.08873943527544959   0.0036009672366577525  -0.05994509076311763   0.023674827423017616  -0.24813778359605954   0.09650450353650886 
170.0169997365683   0.17270068366987495  0.0005473695236559023   0.07314826764395627   0.0035385515420305116  -0.1343405262747786    0.026228335814531975  -0.2579500579266679    0.12084942816452901 
175.0029998198941   0.19181247578883756  0.0005221379184396358   0.06721770808494754   0.003988736338085497   -0.08803449476069625   0.03145049142117758   0.12235434985180257    0.14176563461133698 
179.98199982257097  0.2049664465845928   0.0006051442622082431   0.054333569662853985  0.003405562546089806   -0.10082199990448001   0.024281940001690046  0.09749939015528494    0.11031343158342358 
184.98999978494086  0.21990144498558756  0.0006058126349597764   0.05819355239989064   0.0031215227971738493  -0.03648863618716087   0.022870408642104635  0.20399697588170881    0.11075768734071292 
189.97999998923657  0.2305068901934819   0.00046938451702910333  0.050580254402376984  0.0023645571296552967  -0.01767811554307456   0.015970677890245845  0.23609298384348232    0.07589628241717394 
194.98899958870376  0.24187332689270652  0.0003718682919604116   0.04618361652119593   0.0021791863165200355  -0.024431986199795516  0.01622157604915013   0.12337986543287652    0.07841218607721598 
200.0149998333414   0.25158959504348427  0.000310361983493157    0.0413124507509858    0.001731144314976351   -0.03985200516622188   0.013564985455168724  0.04188772533504814    0.06962686101907789 
205.00599967473443  0.2603814972726939   0.0003740890832115984   0.039490903978691476  0.001728386112143647   -0.03594447079070846   0.012733898768368043  0.026031498890071808   0.0577575831037834  
210.0049997580672   0.26703848560771026  0.0004873601139072925   0.0394009246366869    0.0020403189516049573  -0.011690864484842078  0.013066999080533187  0.08294816128395682    0.0637430431924017  
215.00699980107902  0.27331292663437445  0.00039424596688122926  0.04062241118026606   0.0018451730082461558  -0.009448840151773163  0.013010854156605162  -0.000918050354769856  0.07760102415089878 
220.0079996828      0.27920791771586895  0.0003322399803824816   0.03900577735151882   0.0012873992138086147  0.0010655054844225242  0.008033482309857926  0.06534980605015386    0.03991624688539305 
