# List of crossterms parameters to be used in the Crossterms excluded-volume HRG model
# Only particle pairs with a non-zero eigenvolume parameter are listed here
#         pdg_i          pdg_j   b_{ij}[fm^3]
         -12212          -2228              1
         -12212          -2118              1
         -12212         -33314              1
         -12212         -33324              1
         -12212          -3316              1
         -12212          -3326              1
         -12212          -3118              1
         -12212          -3218              1
         -12212          -3228              1
         -12212    -1010000020        1.44275
         -12212          -3128              1
         -12212         -23126              1
         -12212          -1218              1
         -12212          -2128              1
         -12212            -92              1
         -12212            -91              1
         -12212    -1020000020        1.44275
         -12212         -33214              1
         -12212         -33114              1
         -12212            -94              1
         -12212         -33224              1
         -12212            -93              1
         -12212         -13334              1
         -12212    -1010010020        1.44275
         -12212           -911              1
         -12212            -99              1
         -12212           -910              1
         -12212            -98              1
         -12212            -97              1
         -12212            -95              1
         -12212            -96              1
         -12212    -1000020030        1.82088
         -12212    -1000010030        1.82088
         -12212    -1010010030        1.82088
         -12212    -1000020040        2.16522
         -12212    -1010020040        2.16522
         -12212    -1010010040        2.16522
         -12212    -1010020050        2.48775
          12212           2212              1
          12212           2112              1
          12212           3122              1
          12212           3222              1
          12212           3212              1
          12212           3112              1
          12212           2224              1
          12212           1114              1
          12212           2214              1
          12212           2114              1
          12212           3322              1
          12212           3312              1
          12212           3224              1
          12212           3214              1
          12212           3114              1
          12212          13122              1
          12212          12212              1
          12212          12112              1
          12212           3124              1
          12212           2124              1
          12212           1214              1
          12212           3324              1
          12212          22112              1
          12212          22212              1
          12212           3314              1
          12212          32224              1
          12212          32214              1
          12212          32114              1
          12212          31114              1
          12212          23122              1
          12212           2122              1
          12212           2222              1
          12212           1112              1
          12212           1212              1
          12212          32112              1
          12212          32212              1
          12212          13212              1
          12212          13222              1
          12212          13112              1
          12212          13114              1
          12212          13224              1
          12212          13214              1
          12212          33122              1
          12212           3334              1
          12212           2116              1
          12212           2216              1
          12212          12116              1
          12212          12216              1
          12212          23324              1
          12212          13124              1
          12212          23314              1
          12212          12214              1
          12212          22124              1
          12212          12224              1
          12212          21214              1
          12212          12114              1
          12212          11114              1
          12212          42212              1
          12212          42112              1
          12212          32124              1
          12212          31214              1
          12212          23212              1
          12212          23112              1
          12212          23222              1
          12212           3116              1
          12212           3216              1
          12212           3226              1
          12212          43122              1
          12212          53122              1
          12212           3126              1
          12212          13324              1
          12212          13314              1
          12212          13126              1
          12212        2211875              1
          12212        2111875              1
          12212     1000010020        1.44275
          12212          23124              1
          12212        2111900              1
          12212        2211900              1
          12212           1116              1
          12212           2126              1
          12212           2226              1
          12212           1216              1
          12212          22222              1
          12212          21112              1
          12212          22122              1
          12212          21212              1
          12212          13216              1
          12212          13226              1
          12212          13116              1
          12212          22224              1
          12212          22114              1
          12212          22214              1
          12212          21114              1
          12212          11116              1
          12212          12226              1
          12212          11216              1
          12212          12126              1
          12212          23114              1
          12212          23224              1
          12212          23214              1
          12212           1118              1
          12212           2228              1
          12212           2118              1
          12212          33314              1
          12212          33324              1
          12212           2218              1
          12212           3326              1
          12212           3316              1
          12212           3118              1
          12212           3218              1
          12212           3228              1
          12212     1010000020        1.44275
          12212           3128              1
          12212          23126              1
          12212           1218              1
          12212           2128              1
          12212             91              1
          12212             92              1
          12212     1020000020        1.44275
          12212          33114              1
          12212          33214              1
          12212          33224              1
          12212             93              1
          12212             94              1
          12212          13334              1
          12212     1010010020        1.44275
          12212            911              1
          12212             99              1
          12212            910              1
          12212             97              1
          12212             98              1
          12212             95              1
          12212             96              1
          12212     1000020030        1.82088
          12212     1000010030        1.82088
          12212     1010010030        1.82088
          12212     1000020040        2.16522
          12212     1010020040        2.16522
          12212     1010010040        2.16522
          12212     1010020050        2.48775
         -12112          -2212              1
         -12112          -2112              1
         -12112          -3122              1
         -12112          -3222              1
         -12112          -3212              1
         -12112          -3112              1
         -12112          -2224              1
         -12112          -1114              1
         -12112          -2214              1
         -12112          -2114              1
         -12112          -3322              1
         -12112          -3312              1
         -12112          -3224              1
         -12112          -3214              1
         -12112          -3114              1
         -12112         -13122              1
         -12112         -12212              1
         -12112         -12112              1
         -12112          -3124              1
         -12112          -2124              1
         -12112          -1214              1
         -12112          -3324              1
         -12112         -22112              1
         -12112         -22212              1
         -12112          -3314              1
         -12112         -31114              1
         -12112         -32224              1
         -12112         -32214              1
         -12112         -32114              1
         -12112         -23122              1
         -12112          -2122              1
         -12112          -2222              1
         -12112          -1112              1
         -12112          -1212              1
         -12112         -32112              1
         -12112         -32212              1
         -12112         -13212              1
         -12112         -13112              1
         -12112         -13222              1
         -12112         -13214              1
         -12112         -13224              1
         -12112         -33122              1
         -12112         -13114              1
         -12112          -3334              1
         -12112          -2216              1
         -12112          -2116              1
         -12112         -12116              1
         -12112         -12216              1
         -12112         -23314              1
         -12112         -23324              1
         -12112         -13124              1
         -12112         -11114              1
         -12112         -12214              1
         -12112         -22124              1
         -12112         -12224              1
         -12112         -21214              1
         -12112         -12114              1
         -12112         -42212              1
         -12112         -42112              1
         -12112         -31214              1
         -12112         -32124              1
         -12112         -23222              1
         -12112         -23212              1
         -12112         -23112              1
         -12112          -3216              1
         -12112          -3116              1
         -12112          -3226              1
         -12112         -43122              1
         -12112         -53122              1
         -12112          -3126              1
         -12112         -13324              1
         -12112         -13314              1
         -12112         -13126              1
         -12112       -2111875              1
         -12112       -2211875              1
         -12112    -1000010020        1.44275
         -12112         -23124              1
         -12112       -2211900              1
         -12112       -2111900              1
         -12112          -1116              1
         -12112          -2126              1
         -12112          -2226              1
         -12112          -1216              1
         -12112         -22122              1
         -12112         -21112              1
         -12112         -21212              1
         -12112         -22222              1
         -12112         -13216              1
         -12112         -13226              1
         -12112         -13116              1
         -12112         -22114              1
         -12112         -22214              1
         -12112         -21114              1
         -12112         -22224              1
         -12112         -12226              1
         -12112         -11116              1
         -12112         -11216              1
         -12112         -12126              1
         -12112         -23214              1
         -12112         -23224              1
         -12112         -23114              1
         -12112          -2218              1
         -12112          -1118              1
         -12112          -2228              1
         -12112          -2118              1
         -12112         -33314              1
         -12112         -33324              1
         -12112          -3316              1
         -12112          -3326              1
         -12112          -3118              1
         -12112          -3218              1
         -12112          -3228              1
         -12112    -1010000020        1.44275
         -12112          -3128              1
         -12112         -23126              1
         -12112          -1218              1
         -12112          -2128              1
         -12112            -92              1
         -12112            -91              1
         -12112    -1020000020        1.44275
         -12112         -33214              1
         -12112         -33114              1
         -12112            -94              1
         -12112         -33224              1
         -12112            -93              1
         -12112         -13334              1
         -12112    -1010010020        1.44275
         -12112           -911              1
         -12112            -99              1
         -12112           -910              1
         -12112            -98              1
         -12112            -97              1
         -12112            -95              1
         -12112            -96              1
         -12112    -1000020030        1.82088
         -12112    -1000010030        1.82088
         -12112    -1010010030        1.82088
         -12112    -1000020040        2.16522
         -12112    -1010020040        2.16522
         -12112    -1010010040        2.16522
         -12112    -1010020050        2.48775
          12112           2212              1
          12112           2112              1
          12112           3122              1
          12112           3222              1
          12112           3212              1
          12112           3112              1
          12112           2224              1
          12112           1114              1
          12112           2214              1
          12112           2114              1
          12112           3322              1
          12112           3312              1
          12112           3224              1
          12112           3214              1
          12112           3114              1
          12112          13122              1
          12112          12212              1
          12112          12112              1
          12112           3124              1
          12112           2124              1
          12112           1214              1
          12112           3324              1
          12112          22112              1
          12112          22212              1
          12112           3314              1
          12112          32224              1
          12112          32214              1
          12112          32114              1
          12112          31114              1
          12112          23122              1
          12112           2122              1
          12112           2222              1
          12112           1112              1
          12112           1212              1
          12112          32112              1
          12112          32212              1
          12112          13212              1
          12112          13222              1
          12112          13112              1
          12112          13114              1
          12112          13224              1
          12112          13214              1
          12112          33122              1
          12112           3334              1
          12112           2116              1
          12112           2216              1
          12112          12116              1
          12112          12216              1
          12112          23324              1
          12112          13124              1
          12112          23314              1
          12112          12214              1
          12112          22124              1
          12112          12224              1
          12112          21214              1
          12112          12114              1
          12112          11114              1
          12112          42212              1
          12112          42112              1
          12112          32124              1
          12112          31214              1
          12112          23212              1
          12112          23112              1
          12112          23222              1
          12112           3116              1
          12112           3216              1
          12112           3226              1
          12112          43122              1
          12112          53122              1
          12112           3126              1
          12112          13324              1
          12112          13314              1
          12112          13126              1
          12112        2211875              1
          12112        2111875              1
          12112     1000010020        1.44275
          12112          23124              1
          12112        2111900              1
          12112        2211900              1
          12112           1116              1
          12112           2126              1
          12112           2226              1
          12112           1216              1
          12112          22222              1
          12112          21112              1
          12112          22122              1
          12112          21212              1
          12112          13216              1
          12112          13226              1
          12112          13116              1
          12112          22224              1
          12112          22114              1
          12112          22214              1
          12112          21114              1
          12112          11116              1
          12112          12226              1
          12112          11216              1
          12112          12126              1
          12112          23114              1
          12112          23224              1
          12112          23214              1
          12112           1118              1
          12112           2228              1
          12112           2118              1
          12112          33314              1
          12112          33324              1
          12112           2218              1
          12112           3326              1
          12112           3316              1
          12112           3118              1
          12112           3218              1
          12112           3228              1
          12112     1010000020        1.44275
          12112           3128              1
          12112          23126              1
          12112           1218              1
          12112           2128              1
          12112             91              1
          12112             92              1
          12112     1020000020        1.44275
          12112          33114              1
          12112          33214              1
          12112          33224              1
          12112             93              1
          12112             94              1
          12112          13334              1
          12112     1010010020        1.44275
          12112            911              1
          12112             99              1
          12112            910              1
          12112             97              1
          12112             98              1
          12112             95              1
          12112             96              1
          12112     1000020030        1.82088
          12112     1000010030        1.82088
          12112     1010010030        1.82088
          12112     1000020040        2.16522
          12112     1010020040        2.16522
          12112     1010010040        2.16522
          12112     1010020050        2.48775
          -3124          -2212              1
          -3124          -2112              1
          -3124          -3122              1
          -3124          -3222              1
          -3124          -3212              1
          -3124          -3112              1
          -3124          -2224              1
          -3124          -1114              1
          -3124          -2214              1
          -3124          -2114              1
          -3124          -3322              1
          -3124          -3312              1
          -3124          -3224              1
          -3124          -3214              1
          -3124          -3114              1
          -3124         -13122              1
          -3124         -12212              1
          -3124         -12112              1
          -3124          -3124              1
          -3124          -2124              1
          -3124          -1214              1
          -3124          -3324              1
          -3124         -22112              1
          -3124         -22212              1
          -3124          -3314              1
          -3124         -31114              1
          -3124         -32224              1
          -3124         -32214              1
          -3124         -32114              1
          -3124         -23122              1
          -3124          -2122              1
          -3124          -2222              1
          -3124          -1112              1
          -3124          -1212              1
          -3124         -32112              1
          -3124         -32212              1
          -3124         -13212              1
          -3124         -13112              1
          -3124         -13222              1
          -3124         -13214              1
          -3124         -13224              1
          -3124         -33122              1
          -3124         -13114              1
          -3124          -3334              1
          -3124          -2216              1
          -3124          -2116              1
          -3124         -12116              1
          -3124         -12216              1
          -3124         -23314              1
          -3124         -23324              1
          -3124         -13124              1
          -3124         -11114              1
          -3124         -12214              1
          -3124         -22124              1
          -3124         -12224              1
          -3124         -21214              1
          -3124         -12114              1
          -3124         -42212              1
          -3124         -42112              1
          -3124         -31214              1
          -3124         -32124              1
          -3124         -23222              1
          -3124         -23212              1
          -3124         -23112              1
          -3124          -3216              1
          -3124          -3116              1
          -3124          -3226              1
          -3124         -43122              1
          -3124         -53122              1
          -3124          -3126              1
          -3124         -13324              1
          -3124         -13314              1
          -3124         -13126              1
          -3124       -2111875              1
          -3124       -2211875              1
          -3124    -1000010020        1.44275
          -3124         -23124              1
          -3124       -2211900              1
          -3124       -2111900              1
          -3124          -1116              1
          -3124          -2126              1
          -3124          -2226              1
          -3124          -1216              1
          -3124         -22122              1
          -3124         -21112              1
          -3124         -21212              1
          -3124         -22222              1
          -3124         -13216              1
          -3124         -13226              1
          -3124         -13116              1
          -3124         -22114              1
          -3124         -22214              1
          -3124         -21114              1
          -3124         -22224              1
          -3124         -12226              1
          -3124         -11116              1
          -3124         -11216              1
          -3124         -12126              1
          -3124         -23214              1
          -3124         -23224              1
          -3124         -23114              1
          -3124          -2218              1
          -3124          -1118              1
          -3124          -2228              1
          -3124          -2118              1
          -3124         -33314              1
          -3124         -33324              1
          -3124          -3316              1
          -3124          -3326              1
          -3124          -3118              1
          -3124          -3218              1
          -3124          -3228              1
          -3124    -1010000020        1.44275
          -3124          -3128              1
          -3124         -23126              1
          -3124          -1218              1
          -3124          -2128              1
          -3124            -92              1
          -3124            -91              1
          -3124    -1020000020        1.44275
          -3124         -33214              1
          -3124         -33114              1
          -3124            -94              1
          -3124         -33224              1
          -3124            -93              1
          -3124         -13334              1
          -3124    -1010010020        1.44275
          -3124           -911              1
          -3124            -99              1
          -3124           -910              1
          -3124            -98              1
          -3124            -97              1
          -3124            -95              1
          -3124            -96              1
          -3124    -1000020030        1.82088
          -3124    -1000010030        1.82088
          -3124    -1010010030        1.82088
          -3124    -1000020040        2.16522
          -3124    -1010020040        2.16522
          -3124    -1010010040        2.16522
          -3124    -1010020050        2.48775
           3124           2212              1
           3124           2112              1
           3124           3122              1
           3124           3222              1
           3124           3212              1
           3124           3112              1
           3124           2224              1
           3124           1114              1
           3124           2214              1
           3124           2114              1
           3124           3322              1
           3124           3312              1
           3124           3224              1
           3124           3214              1
           3124           3114              1
           3124          13122              1
           3124          12212              1
           3124          12112              1
           3124           3124              1
           3124           2124              1
           3124           1214              1
           3124           3324              1
           3124          22112              1
           3124          22212              1
           3124           3314              1
           3124          32224              1
           3124          32214              1
           3124          32114              1
           3124          31114              1
           3124          23122              1
           3124           2122              1
           3124           2222              1
           3124           1112              1
           3124           1212              1
           3124          32112              1
           3124          32212              1
           3124          13212              1
           3124          13222              1
           3124          13112              1
           3124          13114              1
           3124          13224              1
           3124          13214              1
           3124          33122              1
           3124           3334              1
           3124           2116              1
           3124           2216              1
           3124          12116              1
           3124          12216              1
           3124          23324              1
           3124          13124              1
           3124          23314              1
           3124          12214              1
           3124          22124              1
           3124          12224              1
           3124          21214              1
           3124          12114              1
           3124          11114              1
           3124          42212              1
           3124          42112              1
           3124          32124              1
           3124          31214              1
           3124          23212              1
           3124          23112              1
           3124          23222              1
           3124           3116              1
           3124           3216              1
           3124           3226              1
           3124          43122              1
           3124          53122              1
           3124           3126              1
           3124          13324              1
           3124          13314              1
           3124          13126              1
           3124        2211875              1
           3124        2111875              1
           3124     1000010020        1.44275
           3124          23124              1
           3124        2111900              1
           3124        2211900              1
           3124           1116              1
           3124           2126              1
           3124           2226              1
           3124           1216              1
           3124          22222              1
           3124          21112              1
           3124          22122              1
           3124          21212              1
           3124          13216              1
           3124          13226              1
           3124          13116              1
           3124          22224              1
           3124          22114              1
           3124          22214              1
           3124          21114              1
           3124          11116              1
           3124          12226              1
           3124          11216              1
           3124          12126              1
           3124          23114              1
           3124          23224              1
           3124          23214              1
           3124           1118              1
           3124           2228              1
           3124           2118              1
           3124          33314              1
           3124          33324              1
           3124           2218              1
           3124           3326              1
           3124           3316              1
           3124           3118              1
           3124           3218              1
           3124           3228              1
           3124     1010000020        1.44275
           3124           3128              1
           3124          23126              1
           3124           1218              1
           3124           2128              1
           3124             91              1
           3124             92              1
           3124     1020000020        1.44275
           3124          33114              1
           3124          33214              1
           3124          33224              1
           3124             93              1
           3124             94              1
           3124          13334              1
           3124     1010010020        1.44275
           3124            911              1
           3124             99              1
           3124            910              1
           3124             97              1
           3124             98              1
           3124             95              1
           3124             96              1
           3124     1000020030        1.82088
           3124     1000010030        1.82088
           3124     1010010030        1.82088
           3124     1000020040        2.16522
           3124     1010020040        2.16522
           3124     1010010040        2.16522
           3124     1010020050        2.48775
          -2124          -2212              1
          -2124          -2112              1
          -2124          -3122              1
          -2124          -3222              1
          -2124          -3212              1
          -2124          -3112              1
          -2124          -2224              1
          -2124          -1114              1
          -2124          -2214              1
          -2124          -2114              1
          -2124          -3322              1
          -2124          -3312              1
          -2124          -3224              1
          -2124          -3214              1
          -2124          -3114              1
          -2124         -13122              1
          -2124         -12212              1
          -2124         -12112              1
          -2124          -3124              1
          -2124          -2124              1
          -2124          -1214              1
          -2124          -3324              1
          -2124         -22112              1
          -2124         -22212              1
          -2124          -3314              1
          -2124         -31114              1
          -2124         -32224              1
          -2124         -32214              1
          -2124         -32114              1
          -2124         -23122              1
          -2124          -2122              1
          -2124          -2222              1
          -2124          -1112              1
          -2124          -1212              1
          -2124         -32112              1
          -2124         -32212              1
          -2124         -13212              1
          -2124         -13112              1
          -2124         -13222              1
          -2124         -13214              1
          -2124         -13224              1
          -2124         -33122              1
          -2124         -13114              1
          -2124          -3334              1
          -2124          -2216              1
          -2124          -2116              1
          -2124         -12116              1
          -2124         -12216              1
          -2124         -23314              1
          -2124         -23324              1
          -2124         -13124              1
          -2124         -11114              1
          -2124         -12214              1
          -2124         -22124              1
          -2124         -12224              1
          -2124         -21214              1
          -2124         -12114              1
          -2124         -42212              1
          -2124         -42112              1
          -2124         -31214              1
          -2124         -32124              1
          -2124         -23222              1
          -2124         -23212              1
          -2124         -23112              1
          -2124          -3216              1
          -2124          -3116              1
          -2124          -3226              1
          -2124         -43122              1
          -2124         -53122              1
          -2124          -3126              1
          -2124         -13324              1
          -2124         -13314              1
          -2124         -13126              1
          -2124       -2111875              1
          -2124       -2211875              1
          -2124    -1000010020        1.44275
          -2124         -23124              1
          -2124       -2211900              1
          -2124       -2111900              1
          -2124          -1116              1
          -2124          -2126              1
          -2124          -2226              1
          -2124          -1216              1
          -2124         -22122              1
          -2124         -21112              1
          -2124         -21212              1
          -2124         -22222              1
          -2124         -13216              1
          -2124         -13226              1
          -2124         -13116              1
          -2124         -22114              1
          -2124         -22214              1
          -2124         -21114              1
          -2124         -22224              1
          -2124         -12226              1
          -2124         -11116              1
          -2124         -11216              1
          -2124         -12126              1
          -2124         -23214              1
          -2124         -23224              1
          -2124         -23114              1
          -2124          -2218              1
          -2124          -1118              1
          -2124          -2228              1
          -2124          -2118              1
          -2124         -33314              1
          -2124         -33324              1
          -2124          -3316              1
          -2124          -3326              1
          -2124          -3118              1
          -2124          -3218              1
          -2124          -3228              1
          -2124    -1010000020        1.44275
          -2124          -3128              1
          -2124         -23126              1
          -2124          -1218              1
          -2124          -2128              1
          -2124            -92              1
          -2124            -91              1
          -2124    -1020000020        1.44275
          -2124         -33214              1
          -2124         -33114              1
          -2124            -94              1
          -2124         -33224              1
          -2124            -93              1
          -2124         -13334              1
          -2124    -1010010020        1.44275
          -2124           -911              1
          -2124            -99              1
          -2124           -910              1
          -2124            -98              1
          -2124            -97              1
          -2124            -95              1
          -2124            -96              1
          -2124    -1000020030        1.82088
          -2124    -1000010030        1.82088
          -2124    -1010010030        1.82088
          -2124    -1000020040        2.16522
          -2124    -1010020040        2.16522
          -2124    -1010010040        2.16522
          -2124    -1010020050        2.48775
           2124           2212              1
           2124           2112              1
           2124           3122              1
           2124           3222              1
           2124           3212              1
           2124           3112              1
           2124           2224              1
           2124           1114              1
           2124           2214              1
           2124           2114              1
           2124           3322              1
           2124           3312              1
           2124           3224              1
           2124           3214              1
           2124           3114              1
           2124          13122              1
           2124          12212              1
           2124          12112              1
           2124           3124              1
           2124           2124              1
           2124           1214              1
           2124           3324              1
           2124          22112              1
           2124          22212              1
           2124           3314              1
           2124          32224              1
           2124          32214              1
           2124          32114              1
           2124          31114              1
           2124          23122              1
           2124           2122              1
           2124           2222              1
           2124           1112              1
           2124           1212              1
           2124          32112              1
           2124          32212              1
           2124          13212              1
           2124          13222              1
           2124          13112              1
           2124          13114              1
           2124          13224              1
           2124          13214              1
           2124          33122              1
           2124           3334              1
           2124           2116              1
           2124           2216              1
           2124          12116              1
           2124          12216              1
           2124          23324              1
           2124          13124              1
           2124          23314              1
           2124          12214              1
           2124          22124              1
           2124          12224              1
           2124          21214              1
           2124          12114              1
           2124          11114              1
           2124          42212              1
           2124          42112              1
           2124          32124              1
           2124          31214              1
           2124          23212              1
           2124          23112              1
           2124          23222              1
           2124           3116              1
           2124           3216              1
           2124           3226              1
           2124          43122              1
           2124          53122              1
           2124           3126              1
           2124          13324              1
           2124          13314              1
           2124          13126              1
           2124        2211875              1
           2124        2111875              1
           2124     1000010020        1.44275
           2124          23124              1
           2124        2111900              1
           2124        2211900              1
           2124           1116              1
           2124           2126              1
           2124           2226              1
           2124           1216              1
           2124          22222              1
           2124          21112              1
           2124          22122              1
           2124          21212              1
           2124          13216              1
           2124          13226              1
           2124          13116              1
           2124          22224              1
           2124          22114              1
           2124          22214              1
           2124          21114              1
           2124          11116              1
