# List of crossterms parameters to be used in the Crossterms excluded-volume HRG model
# Only particle pairs with a non-zero eigenvolume parameter are listed here
#         pdg_i          pdg_j   b_{ij}[fm^3]
           2112          22112              1
           2112          22212              1
           2112           3314              1
           2112          32224              1
           2112          32214              1
           2112          32114              1
           2112          31114              1
           2112          23122              1
           2112           2122              1
           2112           2222              1
           2112           1112              1
           2112           1212              1
           2112          32112              1
           2112          32212              1
           2112          13212              1
           2112          13222              1
           2112          13112              1
           2112          13114              1
           2112          13224              1
           2112          13214              1
           2112          33122              1
           2112           3334              1
           2112           2116              1
           2112           2216              1
           2112          12116              1
           2112          12216              1
           2112          23324              1
           2112          13124              1
           2112          23314              1
           2112          12214              1
           2112          22124              1
           2112          12224              1
           2112          21214              1
           2112          12114              1
           2112          11114              1
           2112          42212              1
           2112          42112              1
           2112          32124              1
           2112          31214              1
           2112          23212              1
           2112          23112              1
           2112          23222              1
           2112           3116              1
           2112           3216              1
           2112           3226              1
           2112          43122              1
           2112          53122              1
           2112           3126              1
           2112          13324              1
           2112          13314              1
           2112          13126              1
           2112        2211875              1
           2112        2111875              1
           2112     1000010020        1.44275
           2112          23124              1
           2112        2111900              1
           2112        2211900              1
           2112           1116              1
           2112           2126              1
           2112           2226              1
           2112           1216              1
           2112          22222              1
           2112          21112              1
           2112          22122              1
           2112          21212              1
           2112          13216              1
           2112          13226              1
           2112          13116              1
           2112          22224              1
           2112          22114              1
           2112          22214              1
           2112          21114              1
           2112          11116              1
           2112          12226              1
           2112          11216              1
           2112          12126              1
           2112          23114              1
           2112          23224              1
           2112          23214              1
           2112           1118              1
           2112           2228              1
           2112           2118              1
           2112          33314              1
           2112          33324              1
           2112           2218              1
           2112           3326              1
           2112           3316              1
           2112           3118              1
           2112           3218              1
           2112           3228              1
           2112     1010000020        1.44275
           2112           3128              1
           2112          23126              1
           2112           1218              1
           2112           2128              1
           2112             91              1
           2112             92              1
           2112     1020000020        1.44275
           2112          33114              1
           2112          33214              1
           2112          33224              1
           2112             93              1
           2112             94              1
           2112          13334              1
           2112     1010010020        1.44275
           2112            911              1
           2112             99              1
           2112            910              1
           2112             97              1
           2112             98              1
           2112             95              1
           2112             96              1
           2112     1000020030        1.82088
           2112     1000010030        1.82088
           2112     1010010030        1.82088
           2112     1000020040        2.16522
           2112     1010020040        2.16522
           2112     1010010040        2.16522
           2112     1010020050        2.48775
          -2112          -2212              1
          -2112          -2112              1
          -2112          -3122              1
          -2112          -3222              1
          -2112          -3212              1
          -2112          -3112              1
          -2112          -2224              1
          -2112          -1114              1
          -2112          -2214              1
          -2112          -2114              1
          -2112          -3322              1
          -2112          -3312              1
          -2112          -3224              1
          -2112          -3214              1
          -2112          -3114              1
          -2112         -13122              1
          -2112         -12212              1
          -2112         -12112              1
          -2112          -3124              1
          -2112          -2124              1
          -2112          -1214              1
          -2112          -3324              1
          -2112         -22112              1
          -2112         -22212              1
          -2112          -3314              1
          -2112         -31114              1
          -2112         -32224              1
          -2112         -32214              1
          -2112         -32114              1
          -2112         -23122              1
          -2112          -2122              1
          -2112          -2222              1
          -2112          -1112              1
          -2112          -1212              1
          -2112         -32112              1
          -2112         -32212              1
          -2112         -13212              1
          -2112         -13112              1
          -2112         -13222              1
          -2112         -13214              1
          -2112         -13224              1
          -2112         -33122              1
          -2112         -13114              1
          -2112          -3334              1
          -2112          -2216              1
          -2112          -2116              1
          -2112         -12116              1
          -2112         -12216              1
          -2112         -23314              1
          -2112         -23324              1
          -2112         -13124              1
          -2112         -11114              1
          -2112         -12214              1
          -2112         -22124              1
          -2112         -12224              1
          -2112         -21214              1
          -2112         -12114              1
          -2112         -42212              1
          -2112         -42112              1
          -2112         -31214              1
          -2112         -32124              1
          -2112         -23222              1
          -2112         -23212              1
          -2112         -23112              1
          -2112          -3216              1
          -2112          -3116              1
          -2112          -3226              1
          -2112         -43122              1
          -2112         -53122              1
          -2112          -3126              1
          -2112         -13324              1
          -2112         -13314              1
          -2112         -13126              1
          -2112       -2111875              1
          -2112       -2211875              1
          -2112    -1000010020        1.44275
          -2112         -23124              1
          -2112       -2211900              1
          -2112       -2111900              1
          -2112          -1116              1
          -2112          -2126              1
          -2112          -2226              1
          -2112          -1216              1
          -2112         -22122              1
          -2112         -21112              1
          -2112         -21212              1
          -2112         -22222              1
          -2112         -13216              1
          -2112         -13226              1
          -2112         -13116              1
          -2112         -22114              1
          -2112         -22214              1
          -2112         -21114              1
          -2112         -22224              1
          -2112         -12226              1
          -2112         -11116              1
          -2112         -11216              1
          -2112         -12126              1
          -2112         -23214              1
          -2112         -23224              1
          -2112         -23114              1
          -2112          -2218              1
          -2112          -1118              1
          -2112          -2228              1
          -2112          -2118              1
          -2112         -33314              1
          -2112         -33324              1
          -2112          -3316              1
          -2112          -3326              1
          -2112          -3118              1
          -2112          -3218              1
          -2112          -3228              1
          -2112    -1010000020        1.44275
          -2112          -3128              1
          -2112         -23126              1
          -2112          -1218              1
          -2112          -2128              1
          -2112            -92              1
          -2112            -91              1
          -2112    -1020000020        1.44275
          -2112         -33214              1
          -2112         -33114              1
          -2112            -94              1
          -2112         -33224              1
          -2112            -93              1
          -2112         -13334              1
          -2112    -1010010020        1.44275
          -2112           -911              1
          -2112            -99              1
          -2112           -910              1
          -2112            -98              1
          -2112            -97              1
          -2112            -95              1
          -2112            -96              1
          -2112    -1000020030        1.82088
          -2112    -1000010030        1.82088
          -2112    -1010010030        1.82088
          -2112    -1000020040        2.16522
          -2112    -1010020040        2.16522
          -2112    -1010010040        2.16522
          -2112    -1010020050        2.48775
          -3122          -2212              1
          -3122          -2112              1
          -3122          -3122              1
          -3122          -3222              1
          -3122          -3212              1
          -3122          -3112              1
          -3122          -2224              1
