# List of eigenvolume parameters to be used in the Diagonal excluded-volume HRG model
# Only particles with a non-zero eigenvolume parameter are listed here
#           pdg      v_i[fm^3]
          -4114       0.452389
           4322       0.452389
          -4322       0.452389
           4312       0.452389
          -4312       0.452389
         -14122       0.452389
          14122       0.452389
      -99022112       0.452389
       99021112       0.452389
       99022112       0.452389
      -99021112       0.452389
    -1030000020       0.904779
     1030000020       0.904779
     1040000020       0.904779
    -1040000020       0.904779
         104122       0.452389
        -104122       0.452389
           4324       0.452389
          -4324       0.452389
          -4314       0.452389
           4314       0.452389
          -4332       0.452389
           4332       0.452389
           4334       0.452389
          -4334       0.452389
        -104324       0.452389
         104324       0.452389
        -104314       0.452389
         104314       0.452389
     1000020030        1.35717
    -1000020030        1.35717
     1000010030        1.35717
    -1000010030        1.35717
         104322       0.452389
        -104322       0.452389
         104312       0.452389
        -104312       0.452389
         204126       0.452389
        -204126       0.452389
    -1010010030        1.35717
     1010010030        1.35717
    -1000020040        1.80956
     1000020040        1.80956
  -100002004001        1.80956
   100002004001        1.80956
  -100002004002        1.80956
   100002004002        1.80956
   100002004003        1.80956
  -100002004003        1.80956
   100002004004        1.80956
  -100002004004        1.80956
     1000030040        1.80956
    -1000030040        1.80956
   100002004005        1.80956
  -100002004005        1.80956
   100003004001        1.80956
  -100003004001        1.80956
   100002004006        1.80956
  -100002004006        1.80956
    -1000010040        1.80956
     1000010040        1.80956
   101001004001        1.80956
  -101001004001        1.80956
  -100002004007        1.80956
   100002004007        1.80956
  -100003004002        1.80956
   100003004002        1.80956
  -100002004008        1.80956
   100002004008        1.80956
   100003004003        1.80956
  -100003004003        1.80956
   101001004002        1.80956
  -101001004002        1.80956
  -101001004003        1.80956
   101001004003        1.80956
  -100002004009        1.80956
   100002004009        1.80956
  -100002004010        1.80956
   100002004010        1.80956
  -100002004011        1.80956
   100002004011        1.80956
  -100002004012        1.80956
   100002004012        1.80956
  -100002004013        1.80956
   100002004013        1.80956
  -100002004014        1.80956
   100002004014        1.80956
   100002004015        1.80956
  -100002004015        1.80956
    -1010020040        1.80956
     1010020040        1.80956
    -1010010040        1.80956
     1010010040        1.80956
    -1000030050        2.26195
     1000030050        2.26195
    -1000020050        2.26195
     1000020050        2.26195
  -100003005001        2.26195
   100003005001        2.26195
   100002005001        2.26195
  -100002005001        2.26195
    10000305002        2.26195
   -10000305002        2.26195
   100002005002        2.26195
  -100002005002        2.26195
     1000010050        2.26195
    -1000010050        2.26195
    -1010020050        2.26195
     1010020050        2.26195
