# List of eigenvolume parameters to be used in the Diagonal excluded-volume HRG model
# Only particles with a non-zero eigenvolume parameter are listed here
#           pdg      v_i[fm^3]
        9912214        4.28703
       -9912114        4.28703
        9912114        4.28703
          22224        4.28703
         -22214        4.28703
          22214        4.28703
          -2228        4.30936
           2228        4.30936
          -2218        4.30936
           2218        4.30936
          -2118        4.30936
           2118        4.30936
          -1118        4.30936
           1118        4.30936
        9050225        4.32276
        -103326        4.35402
         -12226        4.35402
          12226        4.35402
         -12126        4.35402
          12126        4.35402
         -11216        4.35402
          11216        4.35402
         -11116        4.35402
          11116        4.35402
         103316        4.35402
        -103316        4.35402
         103326        4.35402
           -219        4.39198
            119        4.39198
            219        4.39198
           -431        4.39497
            431        4.39497
           -423        4.48096
            423        4.48096
        9060225        4.48799
            413        4.48857
           -413        4.48857
       -9903334        4.49335
        9903334        4.49335
            229        4.50585
        -203316        4.52148
         203326        4.52148
        -203326        4.52148
         203316        4.52148
          -3118        4.53265
           3118        4.53265
          -3228        4.53265
           3228        4.53265
           3218        4.53265
          -3218        4.53265
            319        4.57284
           -319        4.57284
            329        4.57284
           -329        4.57284
    -1010010020         4.5907
     1010010020         4.5907
     1010000020        4.59293
    -1010000020        4.59293
          23126        4.66662
         -23126        4.66662
       -9902116        4.68894
        9922212        4.68894
        9902116        4.68894
       -9902216        4.68894
       -9922212        4.68894
          -3128        4.68894
       -9922112        4.68894
        9922112        4.68894
           3128        4.68894
        9902216        4.68894
            433        4.71618
           -433        4.71618
       -9922114         4.7336
        9922214         4.7336
       -9922214         4.7336
        9922114         4.7336
         200333        4.85641
          -1218        4.86757
           1218        4.86757
          -2128        4.86757
           2128        4.86757
        9901118        4.91223
       -9901118        4.91223
        9901218        4.91223
       -9901218        4.91223
        9902128        4.91223
       -9902128        4.91223
        9902228        4.91223
       -9902228        4.91223
       99022110        4.96805
      -99022110        4.96805
       99021110        4.96805
      -99021110        4.96805
    -1020000020        4.98145
     1020000020        4.98145
         -33224        5.02387
          33224        5.02387
     1020010020        5.02387
    -1020010020        5.02387
         -33214        5.02387
          33214        5.02387
         -33114        5.02387
          33114        5.02387
        -203338        5.02833
         203338        5.02833
      -99121110        5.09085
      -99122110        5.09085
       99121110        5.09085
       99122110        5.09085
           4122        5.10528
          -4122        5.10528
        9080225        5.12881
          10421        5.13551
         -10421        5.13551
          10431        5.17525
         -10431        5.17525
        9090225        5.24715
      -99031210        5.24715
       99031210        5.24715
       99011112        5.40345
      -99021212        5.40345
      -99012112        5.40345
       99012112        5.40345
       99022212        5.40345
       99021212        5.40345
      -99011112        5.40345
      -99022212        5.40345
          10423        5.40524
         -10423        5.40524
          -4212        5.47691
           4212        5.47691
          -4112        5.47881
           4112        5.47881
          -4222         5.4793
           4222         5.4793
          20433        5.49165
         -20433        5.49165
            425        5.49433
           -425        5.49433
            415        5.50482
           -415        5.50482
          -4232        5.51049
           4232        5.51049
           4132         5.5171
          -4132         5.5171
           4214        5.62115
          -4214        5.62115
           4224        5.62318
          -4224        5.62318
           4114        5.62334
          -4114        5.62334
         -10433        5.66047
          10433        5.66047
            435        5.73637
           -435        5.73637
           4322        5.75713
          -4322        5.75713
           4312        5.75892
          -4312        5.75892
         -14122        5.78806
          14122        5.78806
      -99022112        5.80536
       99021112        5.80536
       99022112        5.80536
      -99021112        5.80536
    -1030000020        5.82322
     1030000020        5.82322
     1040000020        5.86788
    -1040000020        5.86788
         104122        5.86812
        -104122        5.86812
           4324        5.90709
          -4324        5.90709
          -4314        5.90892
           4314        5.90892
          -4332        6.01793
           4332        6.01793
           4334        6.17579
          -4334        6.17579
        -104324        6.23496
         104324        6.23496
        -104314        6.23875
         104314        6.23875
     1000020030        6.27066
    -1000020030        6.27066
     1000010030        6.27184
    -1000010030        6.27184
         104322         6.2893
        -104322         6.2893
         104312        6.29714
        -104312        6.29714
         204126        6.43419
        -204126        6.43419
            441        6.66254
    -1010010030        6.67871
     1010010030        6.67871
            443        6.91485
          10441        7.62447
          20443        7.83873
          10443        7.87158
            445        7.94033
         100441        8.12192
         100443        8.23044
    -1000020040        8.32261
     1000020040        8.32261
  -100002004001        8.36773
   100002004001        8.36773
  -100002004002        8.36952
   100002004002        8.36952
   100002004003        8.37137
  -100002004003        8.37137
   100002004004         8.3747
  -100002004004         8.3747
     1000030040        8.37474
    -1000030040        8.37474
   100002004005        8.37539
  -100002004005        8.37539
   100003004001        8.37546
  -100003004001        8.37546
   100002004006        8.37675
  -100002004006        8.37675
    -1000010040        8.37687
     1000010040        8.37687
   101001004001        8.37756
  -101001004001        8.37756
  -100002004007        8.37905
   100002004007        8.37905
  -100003004002        8.37939
