# List of the van dar Waals interaction parameters to be used in the QvdW-HRG model
# Only particle pairs with a non-zero QvdW interaction are listed here
# pdg_i pdg_j b_{ij}[fm^3] a_{ij}[GeV*fm^3]
 -2112 -9902228 3.42 0.329
 -2112 -99022110 3.42 0.329
 -2112 -99021110 3.42 0.329
 -2112 -1020000020 3.28946 0
 -2112 -33224 3.42 0.329
 -2112 -1020010020 3.28946 0
 -2112 -33214 3.42 0.329
 -2112 -33114 3.42 0.329
 -2112 -203338 3.42 0.329
 -2112 -99121110 3.42 0.329
 -2112 -99122110 3.42 0.329
 -2112 -4122 3.42 0.329
 -2112 -99031210 3.42 0.329
 -2112 -99021212 3.42 0.329
 -2112 -99012112 3.42 0.329
 -2112 -99011112 3.42 0.329
 -2112 -99022212 3.42 0.329
 -2112 -4212 3.42 0.329
 -2112 -4112 3.42 0.329
 -2112 -4222 3.42 0.329
 -2112 -4232 3.42 0.329
 -2112 -4132 3.42 0.329
 -2112 -4214 3.42 0.329
 -2112 -4224 3.42 0.329
 -2112 -4114 3.42 0.329
 -2112 -4322 3.42 0.329
 -2112 -4312 3.42 0.329
 -2112 -14122 3.42 0.329
 -2112 -99022112 3.42 0.329
 -2112 -99021112 3.42 0.329
 -2112 -1030000020 3.28946 0
 -2112 -1040000020 3.28946 0
 -2112 -104122 3.42 0.329
 -2112 -4324 3.42 0.329
 -2112 -4314 3.42 0.329
 -2112 -4332 3.42 0.329
 -2112 -4334 3.42 0.329
 -2112 -104324 3.42 0.329
 -2112 -104314 3.42 0.329
 -2112 -1000020030 3.1137 0
 -2112 -1000010030 3.1137 0
 -2112 -104322 3.42 0.329
 -2112 -104312 3.42 0.329
 -2112 -204126 3.42 0.329
 -2112 -1010010030 3.1137 0
 -2112 -1000020040 2.96202 0
 -2112 -100002004001 2.96202 0
 -2112 -100002004002 2.96202 0
 -2112 -100002004003 2.96202 0
 -2112 -100002004004 2.96202 0
 -2112 -1000030040 2.96202 0
 -2112 -100002004005 2.96202 0
 -2112 -100003004001 2.96202 0
 -2112 -100002004006 2.96202 0
 -2112 -1000010040 2.96202 0
 -2112 -101001004001 2.96202 0
 -2112 -100002004007 2.96202 0
 -2112 -100003004002 2.96202 0
 -2112 -100002004008 2.96202 0
 -2112 -100003004003 2.96202 0
 -2112 -101001004002 2.96202 0
 -2112 -101001004003 2.96202 0
 -2112 -100002004009 2.96202 0
 -2112 -100002004010 2.96202 0
 -2112 -100002004011 2.96202 0
 -2112 -100002004012 2.96202 0
 -2112 -100002004013 2.96202 0
 -2112 -100002004014 2.96202 0
 -2112 -100002004015 2.96202 0
 -2112 -1010020040 2.96202 0
 -2112 -1010010040 2.96202 0
 -2112 -1000030050 2.83603 0
 -2112 -1000020050 2.83603 0
 -2112 -100003005001 2.83603 0
 -2112 -100002005001 2.83603 0
 -2112 -10000305002 2.83603 0
 -2112 -100002005002 2.83603 0
 -2112 -1000010050 2.83603 0
 -2112 -1010020050 2.83603 0
 2112 2212 3.42 0.329
 2112 2112 3.42 0.329
 2112 3122 3.42 0.329
 2112 3222 3.42 0.329
 2112 3212 3.42 0.329
 2112 3112 3.42 0.329
 2112 2224 3.42 0.329
 2112 2114 3.42 0.329
 2112 1114 3.42 0.329
 2112 2214 3.42 0.329
 2112 3322 3.42 0.329
 2112 3312 3.42 0.329
 2112 3224 3.42 0.329
 2112 3214 3.42 0.329
 2112 3114 3.42 0.329
 2112 13122 3.42 0.329
 2112 12212 3.42 0.329
 2112 12112 3.42 0.329
 2112 2124 3.42 0.329
 2112 1214 3.42 0.329
 2112 3124 3.42 0.329
 2112 22212 3.42 0.329
 2112 22112 3.42 0.329
 2112 3324 3.42 0.329
 2112 3314 3.42 0.329
 2112 32214 3.42 0.329
 2112 31114 3.42 0.329
 2112 32114 3.42 0.329
 2112 32224 3.42 0.329
 2112 23122 3.42 0.329
 2112 2122 3.42 0.329
 2112 1212 3.42 0.329
 2112 2222 3.42 0.329
 2112 1112 3.42 0.329
 2112 32212 3.42 0.329
 2112 32112 3.42 0.329
 2112 13212 3.42 0.329
 2112 13222 3.42 0.329
 2112 13112 3.42 0.329
 2112 3334 3.42 0.329
 2112 33122 3.42 0.329
 2112 2116 3.42 0.329
 2112 13224 3.42 0.329
 2112 13214 3.42 0.329
 2112 13114 3.42 0.329
 2112 2216 3.42 0.329
 2112 12116 3.42 0.329
 2112 12216 3.42 0.329
 2112 203312 3.42 0.329
 2112 203322 3.42 0.329
 2112 13124 3.42 0.329
 2112 12114 3.42 0.329
 2112 12214 3.42 0.329
 2112 12224 3.42 0.329
 2112 42112 3.42 0.329
 2112 42212 3.42 0.329
 2112 11114 3.42 0.329
 2112 32124 3.42 0.329
 2112 31214 3.42 0.329
 2112 22124 3.42 0.329
 2112 21214 3.42 0.329
 2112 23222 3.42 0.329
 2112 23212 3.42 0.329
 2112 23112 3.42 0.329
 2112 3216 3.42 0.329
 2112 3226 3.42 0.329
 2112 3116 3.42 0.329
 2112 53122 3.42 0.329
 2112 43122 3.42 0.329
 2112 3126 3.42 0.329
 2112 13314 3.42 0.329
 2112 13324 3.42 0.329
 2112 13126 3.42 0.329
 2112 12122 3.42 0.329
 2112 12222 3.42 0.329
 2112 11112 3.42 0.329
 2112 11212 3.42 0.329
 2112 9902114 3.42 0.329
 2112 9902214 3.42 0.329
 2112 1000010020 3.28946 0
 2112 9902112 3.42 0.329
 2112 2226 3.42 0.329
 2112 9902212 3.42 0.329
 2112 1216 3.42 0.329
 2112 2126 3.42 0.329
 2112 1116 3.42 0.329
 2112 23124 3.42 0.329
 2112 9912112 3.42 0.329
 2112 9912212 3.42 0.329
 2112 21112 3.42 0.329
 2112 21212 3.42 0.329
 2112 22122 3.42 0.329
 2112 22222 3.42 0.329
 2112 23224 3.42 0.329
 2112 23114 3.42 0.329
 2112 23214 3.42 0.329
 2112 13116 3.42 0.329
 2112 13216 3.42 0.329
 2112 13226 3.42 0.329
 2112 22114 3.42 0.329
 2112 21114 3.42 0.329
 2112 9912214 3.42 0.329
 2112 9912114 3.42 0.329
 2112 22224 3.42 0.329
 2112 22214 3.42 0.329
 2112 2228 3.42 0.329
 2112 2218 3.42 0.329
 2112 2118 3.42 0.329
 2112 1118 3.42 0.329
 2112 12226 3.42 0.329
 2112 12126 3.42 0.329
 2112 11216 3.42 0.329
 2112 11116 3.42 0.329
 2112 103316 3.42 0.329
 2112 103326 3.42 0.329
 2112 9903334 3.42 0.329
 2112 203326 3.42 0.329
 2112 203316 3.42 0.329
 2112 3118 3.42 0.329
 2112 3228 3.42 0.329
 2112 3218 3.42 0.329
 2112 1010010020 3.28946 0
 2112 1010000020 3.28946 0
 2112 23126 3.42 0.329
 2112 9922212 3.42 0.329
 2112 9902116 3.42 0.329
 2112 9922112 3.42 0.329
 2112 3128 3.42 0.329
 2112 9902216 3.42 0.329
 2112 9922214 3.42 0.329
 2112 9922114 3.42 0.329
 2112 1218 3.42 0.329
 2112 2128 3.42 0.329
 2112 9901118 3.42 0.329
 2112 9901218 3.42 0.329
 2112 9902128 3.42 0.329
 2112 9902228 3.42 0.329
 2112 99022110 3.42 0.329
 2112 99021110 3.42 0.329
 2112 1020000020 3.28946 0
 2112 33224 3.42 0.329
 2112 1020010020 3.28946 0
 2112 33214 3.42 0.329
 2112 33114 3.42 0.329
 2112 203338 3.42 0.329
 2112 99121110 3.42 0.329
 2112 99122110 3.42 0.329
 2112 4122 3.42 0.329
 2112 99031210 3.42 0.329
 2112 99011112 3.42 0.329
 2112 99012112 3.42 0.329
 2112 99022212 3.42 0.329
 2112 99021212 3.42 0.329
 2112 4212 3.42 0.329
 2112 4112 3.42 0.329
 2112 4222 3.42 0.329
 2112 4232 3.42 0.329
 2112 4132 3.42 0.329
 2112 4214 3.42 0.329
 2112 4224 3.42 0.329
 2112 4114 3.42 0.329
 2112 4322 3.42 0.329
 2112 4312 3.42 0.329
 2112 14122 3.42 0.329
 2112 99021112 3.42 0.329
 2112 99022112 3.42 0.329
 2112 1030000020 3.28946 0
 2112 1040000020 3.28946 0
 2112 104122 3.42 0.329
 2112 4324 3.42 0.329
 2112 4314 3.42 0.329
 2112 4332 3.42 0.329
 2112 4334 3.42 0.329
 2112 104324 3.42 0.329
 2112 104314 3.42 0.329
 2112 1000020030 3.1137 0
 2112 1000010030 3.1137 0
 2112 104322 3.42 0.329
 2112 104312 3.42 0.329
 2112 204126 3.42 0.329
 2112 1010010030 3.1137 0
 2112 1000020040 2.96202 0
 2112 100002004001 2.96202 0
 2112 100002004002 2.96202 0
 2112 100002004003 2.96202 0
 2112 100002004004 2.96202 0
 2112 1000030040 2.96202 0
