# List of the van dar Waals interaction parameters to be used in the QvdW-HRG model
# Only particle pairs with a non-zero QvdW interaction are listed here
# pdg_i pdg_j b_{ij}[fm^3] a_{ij}[GeV*fm^3]
 -2224 -1000020040 2.96202 0
 -2224 -100002004001 2.96202 0
 -2224 -100002004002 2.96202 0
 -2224 -100002004003 2.96202 0
 -2224 -100002004004 2.96202 0
 -2224 -1000030040 2.96202 0
 -2224 -100002004005 2.96202 0
 -2224 -100003004001 2.96202 0
 -2224 -100002004006 2.96202 0
 -2224 -1000010040 2.96202 0
 -2224 -101001004001 2.96202 0
 -2224 -100002004007 2.96202 0
 -2224 -100003004002 2.96202 0
 -2224 -100002004008 2.96202 0
 -2224 -100003004003 2.96202 0
 -2224 -101001004002 2.96202 0
 -2224 -101001004003 2.96202 0
 -2224 -100002004009 2.96202 0
 -2224 -100002004010 2.96202 0
 -2224 -100002004011 2.96202 0
 -2224 -100002004012 2.96202 0
 -2224 -100002004013 2.96202 0
 -2224 -100002004014 2.96202 0
 -2224 -100002004015 2.96202 0
 -2224 -1010020040 2.96202 0
 -2224 -1010010040 2.96202 0
 -2224 -1000030050 2.83603 0
 -2224 -1000020050 2.83603 0
 -2224 -100003005001 2.83603 0
 -2224 -100002005001 2.83603 0
 -2224 -10000305002 2.83603 0
 -2224 -100002005002 2.83603 0
 -2224 -1000010050 2.83603 0
 -2224 -1010020050 2.83603 0
 1114 2212 3.42 0.329
 1114 2112 3.42 0.329
 1114 3122 3.42 0.329
 1114 3222 3.42 0.329
 1114 3212 3.42 0.329
 1114 3112 3.42 0.329
 1114 2224 3.42 0.329
 1114 2114 3.42 0.329
 1114 1114 3.42 0.329
 1114 2214 3.42 0.329
 1114 3322 3.42 0.329
 1114 3312 3.42 0.329
 1114 3224 3.42 0.329
 1114 3214 3.42 0.329
 1114 3114 3.42 0.329
 1114 13122 3.42 0.329
 1114 12212 3.42 0.329
 1114 12112 3.42 0.329
 1114 2124 3.42 0.329
 1114 1214 3.42 0.329
 1114 3124 3.42 0.329
 1114 22212 3.42 0.329
 1114 22112 3.42 0.329
 1114 3324 3.42 0.329
 1114 3314 3.42 0.329
 1114 32214 3.42 0.329
 1114 31114 3.42 0.329
 1114 32114 3.42 0.329
 1114 32224 3.42 0.329
 1114 23122 3.42 0.329
 1114 2122 3.42 0.329
 1114 1212 3.42 0.329
 1114 2222 3.42 0.329
 1114 1112 3.42 0.329
 1114 32212 3.42 0.329
 1114 32112 3.42 0.329
 1114 13212 3.42 0.329
 1114 13222 3.42 0.329
 1114 13112 3.42 0.329
 1114 3334 3.42 0.329
 1114 33122 3.42 0.329
 1114 2116 3.42 0.329
 1114 13224 3.42 0.329
 1114 13214 3.42 0.329
 1114 13114 3.42 0.329
 1114 2216 3.42 0.329
 1114 12116 3.42 0.329
 1114 12216 3.42 0.329
 1114 203312 3.42 0.329
 1114 203322 3.42 0.329
 1114 13124 3.42 0.329
 1114 12114 3.42 0.329
 1114 12214 3.42 0.329
 1114 12224 3.42 0.329
 1114 42112 3.42 0.329
 1114 42212 3.42 0.329
 1114 11114 3.42 0.329
 1114 32124 3.42 0.329
 1114 31214 3.42 0.329
 1114 22124 3.42 0.329
 1114 21214 3.42 0.329
 1114 23222 3.42 0.329
 1114 23212 3.42 0.329
 1114 23112 3.42 0.329
 1114 3216 3.42 0.329
 1114 3226 3.42 0.329
 1114 3116 3.42 0.329
 1114 53122 3.42 0.329
 1114 43122 3.42 0.329
 1114 3126 3.42 0.329
 1114 13314 3.42 0.329
 1114 13324 3.42 0.329
 1114 13126 3.42 0.329
 1114 12122 3.42 0.329
 1114 12222 3.42 0.329
 1114 11112 3.42 0.329
 1114 11212 3.42 0.329
 1114 9902114 3.42 0.329
 1114 9902214 3.42 0.329
 1114 1000010020 3.28946 0
 1114 9902112 3.42 0.329
 1114 2226 3.42 0.329
 1114 9902212 3.42 0.329
 1114 1216 3.42 0.329
 1114 2126 3.42 0.329
 1114 1116 3.42 0.329
 1114 23124 3.42 0.329
 1114 9912112 3.42 0.329
 1114 9912212 3.42 0.329
 1114 21112 3.42 0.329
 1114 21212 3.42 0.329
 1114 22122 3.42 0.329
 1114 22222 3.42 0.329
 1114 23224 3.42 0.329
 1114 23114 3.42 0.329
 1114 23214 3.42 0.329
 1114 13116 3.42 0.329
 1114 13216 3.42 0.329
 1114 13226 3.42 0.329
 1114 22114 3.42 0.329
 1114 21114 3.42 0.329
 1114 9912214 3.42 0.329
 1114 9912114 3.42 0.329
 1114 22224 3.42 0.329
 1114 22214 3.42 0.329
 1114 2228 3.42 0.329
 1114 2218 3.42 0.329
 1114 2118 3.42 0.329
 1114 1118 3.42 0.329
 1114 12226 3.42 0.329
 1114 12126 3.42 0.329
 1114 11216 3.42 0.329
 1114 11116 3.42 0.329
 1114 103316 3.42 0.329
 1114 103326 3.42 0.329
 1114 9903334 3.42 0.329
 1114 203326 3.42 0.329
 1114 203316 3.42 0.329
 1114 3118 3.42 0.329
 1114 3228 3.42 0.329
 1114 3218 3.42 0.329
 1114 1010010020 3.28946 0
 1114 1010000020 3.28946 0
 1114 23126 3.42 0.329
 1114 9922212 3.42 0.329
 1114 9902116 3.42 0.329
 1114 9922112 3.42 0.329
 1114 3128 3.42 0.329
 1114 9902216 3.42 0.329
 1114 9922214 3.42 0.329
 1114 9922114 3.42 0.329
 1114 1218 3.42 0.329
 1114 2128 3.42 0.329
 1114 9901118 3.42 0.329
 1114 9901218 3.42 0.329
 1114 9902128 3.42 0.329
 1114 9902228 3.42 0.329
 1114 99022110 3.42 0.329
 1114 99021110 3.42 0.329
 1114 1020000020 3.28946 0
 1114 33224 3.42 0.329
 1114 1020010020 3.28946 0
 1114 33214 3.42 0.329
 1114 33114 3.42 0.329
 1114 203338 3.42 0.329
 1114 99121110 3.42 0.329
 1114 99122110 3.42 0.329
 1114 4122 3.42 0.329
 1114 99031210 3.42 0.329
 1114 99011112 3.42 0.329
 1114 99012112 3.42 0.329
 1114 99022212 3.42 0.329
 1114 99021212 3.42 0.329
 1114 4212 3.42 0.329
 1114 4112 3.42 0.329
 1114 4222 3.42 0.329
 1114 4232 3.42 0.329
 1114 4132 3.42 0.329
 1114 4214 3.42 0.329
 1114 4224 3.42 0.329
 1114 4114 3.42 0.329
 1114 4322 3.42 0.329
 1114 4312 3.42 0.329
 1114 14122 3.42 0.329
 1114 99021112 3.42 0.329
 1114 99022112 3.42 0.329
 1114 1030000020 3.28946 0
 1114 1040000020 3.28946 0
 1114 104122 3.42 0.329
 1114 4324 3.42 0.329
 1114 4314 3.42 0.329
 1114 4332 3.42 0.329
 1114 4334 3.42 0.329
 1114 104324 3.42 0.329
 1114 104314 3.42 0.329
 1114 1000020030 3.1137 0
 1114 1000010030 3.1137 0
 1114 104322 3.42 0.329
 1114 104312 3.42 0.329
 1114 204126 3.42 0.329
 1114 1010010030 3.1137 0
 1114 1000020040 2.96202 0
 1114 100002004001 2.96202 0
 1114 100002004002 2.96202 0
 1114 100002004003 2.96202 0
 1114 100002004004 2.96202 0
 1114 1000030040 2.96202 0
 1114 100002004005 2.96202 0
 1114 100003004001 2.96202 0
 1114 100002004006 2.96202 0
 1114 1000010040 2.96202 0
 1114 101001004001 2.96202 0
 1114 100002004007 2.96202 0
 1114 100003004002 2.96202 0
 1114 100002004008 2.96202 0
 1114 100003004003 2.96202 0
 1114 101001004002 2.96202 0
 1114 101001004003 2.96202 0
 1114 100002004009 2.96202 0
 1114 100002004010 2.96202 0
 1114 100002004011 2.96202 0
 1114 100002004012 2.96202 0
 1114 100002004013 2.96202 0
 1114 100002004014 2.96202 0
 1114 100002004015 2.96202 0
 1114 1010020040 2.96202 0
 1114 1010010040 2.96202 0
 1114 1000030050 2.83603 0
 1114 1000020050 2.83603 0
 1114 100003005001 2.83603 0
 1114 100002005001 2.83603 0
 1114 10000305002 2.83603 0
 1114 100002005002 2.83603 0
 1114 1000010050 2.83603 0
 1114 1010020050 2.83603 0
 -2214 -2212 3.42 0.329
 -2214 -2112 3.42 0.329
 -2214 -3122 3.42 0.329
 -2214 -3222 3.42 0.329
 -2214 -3212 3.42 0.329
 -2214 -3112 3.42 0.329
 -2214 -2114 3.42 0.329
 -2214 -1114 3.42 0.329
 -2214 -2224 3.42 0.329
 -2214 -2214 3.42 0.329
 -2214 -3322 3.42 0.329
 -2214 -3312 3.42 0.329
 -2214 -3224 3.42 0.329
 -2214 -3214 3.42 0.329
 -2214 -3114 3.42 0.329
 -2214 -13122 3.42 0.329
 -2214 -12112 3.42 0.329
 -2214 -12212 3.42 0.329
 -2214 -1214 3.42 0.329
 -2214 -2124 3.42 0.329
 -2214 -3124 3.42 0.329
 -2214 -22112 3.42 0.329
 -2214 -22212 3.42 0.329
 -2214 -3324 3.42 0.329
 -2214 -3314 3.42 0.329
 -2214 -32114 3.42 0.329
 -2214 -31114 3.42 0.329
 -2214 -32224 3.42 0.329
 -2214 -32214 3.42 0.329
 -2214 -23122 3.42 0.329
 -2214 -2222 3.42 0.329
 -2214 -1112 3.42 0.329
 -2214 -2122 3.42 0.329
 -2214 -1212 3.42 0.329
 -2214 -32212 3.42 0.329
 -2214 -32112 3.42 0.329
 -2214 -13212 3.42 0.329
 -2214 -13112 3.42 0.329
 -2214 -13222 3.42 0.329
 -2214 -3334 3.42 0.329
 -2214 -33122 3.42 0.329
 -2214 -13114 3.42 0.329
 -2214 -13224 3.42 0.329
 -2214 -13214 3.42 0.329
 -2214 -2116 3.42 0.329
 -2214 -2216 3.42 0.329
 -2214 -12116 3.42 0.329
 -2214 -12216 3.42 0.329
 -2214 -13124 3.42 0.329
 -2214 -203322 3.42 0.329
 -2214 -203312 3.42 0.329
 -2214 -12114 3.42 0.329
 -2214 -12214 3.42 0.329
 -2214 -42112 3.42 0.329
 -2214 -42212 3.42 0.329
 -2214 -12224 3.42 0.329
 -2214 -11114 3.42 0.329
 -2214 -32124 3.42 0.329
 -2214 -22124 3.42 0.329
 -2214 -21214 3.42 0.329
 -2214 -31214 3.42 0.329
 -2214 -23212 3.42 0.329
 -2214 -23112 3.42 0.329
 -2214 -23222 3.42 0.329
 -2214 -3116 3.42 0.329
 -2214 -3216 3.42 0.329
 -2214 -3226 3.42 0.329
 -2214 -53122 3.42 0.329
 -2214 -43122 3.42 0.329
 -2214 -3126 3.42 0.329
 -2214 -13314 3.42 0.329
 -2214 -13324 3.42 0.329
 -2214 -13126 3.42 0.329
 -2214 -11212 3.42 0.329
 -2214 -12122 3.42 0.329
 -2214 -11112 3.42 0.329
 -2214 -12222 3.42 0.329
 -2214 -9902114 3.42 0.329
 -2214 -9902214 3.42 0.329
 -2214 -1000010020 3.28946 0
 -2214 -2126 3.42 0.329
 -2214 -9902112 3.42 0.329
 -2214 -1216 3.42 0.329
 -2214 -1116 3.42 0.329
 -2214 -9902212 3.42 0.329
 -2214 -2226 3.42 0.329
 -2214 -23124 3.42 0.329
 -2214 -9912112 3.42 0.329
 -2214 -9912212 3.42 0.329
 -2214 -22222 3.42 0.329
 -2214 -21212 3.42 0.329
 -2214 -21112 3.42 0.329
 -2214 -22122 3.42 0.329
 -2214 -23214 3.42 0.329
 -2214 -23224 3.42 0.329
 -2214 -23114 3.42 0.329
 -2214 -13116 3.42 0.329
 -2214 -13226 3.42 0.329
 -2214 -13216 3.42 0.329
 -2214 -21114 3.42 0.329
 -2214 -22114 3.42 0.329
 -2214 -22224 3.42 0.329
 -2214 -9912214 3.42 0.329
 -2214 -9912114 3.42 0.329
 -2214 -22214 3.42 0.329
 -2214 -2228 3.42 0.329
 -2214 -2218 3.42 0.329
 -2214 -2118 3.42 0.329
 -2214 -1118 3.42 0.329
 -2214 -103326 3.42 0.329
 -2214 -12226 3.42 0.329
 -2214 -12126 3.42 0.329
 -2214 -11216 3.42 0.329
 -2214 -11116 3.42 0.329
 -2214 -103316 3.42 0.329
 -2214 -9903334 3.42 0.329
 -2214 -203316 3.42 0.329
 -2214 -203326 3.42 0.329
 -2214 -3118 3.42 0.329
 -2214 -3228 3.42 0.329
 -2214 -3218 3.42 0.329
 -2214 -1010010020 3.28946 0
 -2214 -1010000020 3.28946 0
 -2214 -23126 3.42 0.329
 -2214 -9902116 3.42 0.329
 -2214 -9902216 3.42 0.329
 -2214 -9922212 3.42 0.329
 -2214 -3128 3.42 0.329
 -2214 -9922112 3.42 0.329
 -2214 -9922114 3.42 0.329
 -2214 -9922214 3.42 0.329
 -2214 -1218 3.42 0.329
 -2214 -2128 3.42 0.329
 -2214 -9901118 3.42 0.329
 -2214 -9901218 3.42 0.329
 -2214 -9902128 3.42 0.329
 -2214 -9902228 3.42 0.329
 -2214 -99022110 3.42 0.329
 -2214 -99021110 3.42 0.329
 -2214 -1020000020 3.28946 0
 -2214 -33224 3.42 0.329
 -2214 -1020010020 3.28946 0
 -2214 -33214 3.42 0.329
 -2214 -33114 3.42 0.329
 -2214 -203338 3.42 0.329
 -2214 -99121110 3.42 0.329
 -2214 -99122110 3.42 0.329
 -2214 -4122 3.42 0.329
 -2214 -99031210 3.42 0.329
 -2214 -99021212 3.42 0.329
 -2214 -99012112 3.42 0.329
 -2214 -99011112 3.42 0.329
 -2214 -99022212 3.42 0.329
 -2214 -4212 3.42 0.329
 -2214 -4112 3.42 0.329
 -2214 -4222 3.42 0.329
 -2214 -4232 3.42 0.329
 -2214 -4132 3.42 0.329
 -2214 -4214 3.42 0.329
 -2214 -4224 3.42 0.329
 -2214 -4114 3.42 0.329
 -2214 -4322 3.42 0.329
 -2214 -4312 3.42 0.329
 -2214 -14122 3.42 0.329
 -2214 -99022112 3.42 0.329
 -2214 -99021112 3.42 0.329
 -2214 -1030000020 3.28946 0
 -2214 -1040000020 3.28946 0
 -2214 -104122 3.42 0.329
 -2214 -4324 3.42 0.329
 -2214 -4314 3.42 0.329
 -2214 -4332 3.42 0.329
 -2214 -4334 3.42 0.329
 -2214 -104324 3.42 0.329
 -2214 -104314 3.42 0.329
 -2214 -1000020030 3.1137 0
 -2214 -1000010030 3.1137 0
 -2214 -104322 3.42 0.329
 -2214 -104312 3.42 0.329
 -2214 -204126 3.42 0.329
 -2214 -1010010030 3.1137 0
 -2214 -1000020040 2.96202 0
 -2214 -100002004001 2.96202 0
 -2214 -100002004002 2.96202 0
 -2214 -100002004003 2.96202 0
 -2214 -100002004004 2.96202 0
 -2214 -1000030040 2.96202 0
 -2214 -100002004005 2.96202 0
 -2214 -100003004001 2.96202 0
 -2214 -100002004006 2.96202 0
 -2214 -1000010040 2.96202 0
 -2214 -101001004001 2.96202 0
 -2214 -100002004007 2.96202 0
 -2214 -100003004002 2.96202 0
 -2214 -100002004008 2.96202 0
 -2214 -100003004003 2.96202 0
 -2214 -101001004002 2.96202 0
 -2214 -101001004003 2.96202 0
 -2214 -100002004009 2.96202 0
 -2214 -100002004010 2.96202 0
 -2214 -100002004011 2.96202 0
 -2214 -100002004012 2.96202 0
 -2214 -100002004013 2.96202 0
 -2214 -100002004014 2.96202 0
 -2214 -100002004015 2.96202 0
 -2214 -1010020040 2.96202 0
 -2214 -1010010040 2.96202 0
 -2214 -1000030050 2.83603 0
 -2214 -1000020050 2.83603 0
 -2214 -100003005001 2.83603 0
 -2214 -100002005001 2.83603 0
 -2214 -10000305002 2.83603 0
 -2214 -100002005002 2.83603 0
 -2214 -1000010050 2.83603 0
 -2214 -1010020050 2.83603 0
 2214 2212 3.42 0.329
 2214 2112 3.42 0.329
 2214 3122 3.42 0.329
 2214 3222 3.42 0.329
 2214 3212 3.42 0.329
 2214 3112 3.42 0.329
 2214 2224 3.42 0.329
 2214 2114 3.42 0.329
 2214 1114 3.42 0.329
 2214 2214 3.42 0.329
 2214 3322 3.42 0.329
 2214 3312 3.42 0.329
 2214 3224 3.42 0.329
 2214 3214 3.42 0.329
 2214 3114 3.42 0.329
 2214 13122 3.42 0.329
 2214 12212 3.42 0.329
 2214 12112 3.42 0.329
 2214 2124 3.42 0.329
 2214 1214 3.42 0.329
 2214 3124 3.42 0.329
 2214 22212 3.42 0.329
 2214 22112 3.42 0.329
 2214 3324 3.42 0.329
 2214 3314 3.42 0.329
 2214 32214 3.42 0.329
 2214 31114 3.42 0.329
 2214 32114 3.42 0.329
 2214 32224 3.42 0.329
 2214 23122 3.42 0.329
 2214 2122 3.42 0.329
 2214 1212 3.42 0.329
 2214 2222 3.42 0.329
 2214 1112 3.42 0.329
 2214 32212 3.42 0.329
 2214 32112 3.42 0.329
 2214 13212 3.42 0.329
 2214 13222 3.42 0.329
 2214 13112 3.42 0.329
 2214 3334 3.42 0.329
 2214 33122 3.42 0.329
 2214 2116 3.42 0.329
 2214 13224 3.42 0.329
 2214 13214 3.42 0.329
 2214 13114 3.42 0.329
 2214 2216 3.42 0.329
 2214 12116 3.42 0.329
 2214 12216 3.42 0.329
 2214 203312 3.42 0.329
 2214 203322 3.42 0.329
 2214 13124 3.42 0.329
 2214 12114 3.42 0.329
 2214 12214 3.42 0.329
 2214 12224 3.42 0.329
 2214 42112 3.42 0.329
 2214 42212 3.42 0.329
 2214 11114 3.42 0.329
 2214 32124 3.42 0.329
 2214 31214 3.42 0.329
 2214 22124 3.42 0.329
 2214 21214 3.42 0.329
 2214 23222 3.42 0.329
 2214 23212 3.42 0.329
 2214 23112 3.42 0.329
 2214 3216 3.42 0.329
 2214 3226 3.42 0.329
 2214 3116 3.42 0.329
 2214 53122 3.42 0.329
 2214 43122 3.42 0.329
 2214 3126 3.42 0.329
 2214 13314 3.42 0.329
 2214 13324 3.42 0.329
 2214 13126 3.42 0.329
 2214 12122 3.42 0.329
 2214 12222 3.42 0.329
 2214 11112 3.42 0.329
 2214 11212 3.42 0.329
 2214 9902114 3.42 0.329
 2214 9902214 3.42 0.329
 2214 1000010020 3.28946 0
 2214 9902112 3.42 0.329
 2214 2226 3.42 0.329
 2214 9902212 3.42 0.329
 2214 1216 3.42 0.329
 2214 2126 3.42 0.329
 2214 1116 3.42 0.329
 2214 23124 3.42 0.329
 2214 9912112 3.42 0.329
 2214 9912212 3.42 0.329
 2214 21112 3.42 0.329
 2214 21212 3.42 0.329
 2214 22122 3.42 0.329
 2214 22222 3.42 0.329
 2214 23224 3.42 0.329
 2214 23114 3.42 0.329
 2214 23214 3.42 0.329
 2214 13116 3.42 0.329
 2214 13216 3.42 0.329
 2214 13226 3.42 0.329
 2214 22114 3.42 0.329
 2214 21114 3.42 0.329
 2214 9912214 3.42 0.329
 2214 9912114 3.42 0.329
 2214 22224 3.42 0.329
 2214 22214 3.42 0.329
 2214 2228 3.42 0.329
 2214 2218 3.42 0.329
 2214 2118 3.42 0.329
 2214 1118 3.42 0.329
 2214 12226 3.42 0.329
 2214 12126 3.42 0.329
 2214 11216 3.42 0.329
 2214 11116 3.42 0.329
 2214 103316 3.42 0.329
 2214 103326 3.42 0.329
 2214 9903334 3.42 0.329
 2214 203326 3.42 0.329
 2214 203316 3.42 0.329
 2214 3118 3.42 0.329
 2214 3228 3.42 0.329
 2214 3218 3.42 0.329
 2214 1010010020 3.28946 0
 2214 1010000020 3.28946 0
 2214 23126 3.42 0.329
 2214 9922212 3.42 0.329
 2214 9902116 3.42 0.329
 2214 9922112 3.42 0.329
 2214 3128 3.42 0.329
 2214 9902216 3.42 0.329
 2214 9922214 3.42 0.329
 2214 9922114 3.42 0.329
 2214 1218 3.42 0.329
 2214 2128 3.42 0.329
 2214 9901118 3.42 0.329
 2214 9901218 3.42 0.329
 2214 9902128 3.42 0.329
 2214 9902228 3.42 0.329
 2214 99022110 3.42 0.329
 2214 99021110 3.42 0.329
 2214 1020000020 3.28946 0
 2214 33224 3.42 0.329
 2214 1020010020 3.28946 0
 2214 33214 3.42 0.329
 2214 33114 3.42 0.329
 2214 203338 3.42 0.329
 2214 99121110 3.42 0.329
 2214 99122110 3.42 0.329
 2214 4122 3.42 0.329
 2214 99031210 3.42 0.329
 2214 99011112 3.42 0.329
 2214 99012112 3.42 0.329
 2214 99022212 3.42 0.329
 2214 99021212 3.42 0.329
 2214 4212 3.42 0.329
 2214 4112 3.42 0.329
 2214 4222 3.42 0.329
 2214 4232 3.42 0.329
 2214 4132 3.42 0.329
 2214 4214 3.42 0.329
 2214 4224 3.42 0.329
 2214 4114 3.42 0.329
 2214 4322 3.42 0.329
 2214 4312 3.42 0.329
 2214 14122 3.42 0.329
 2214 99021112 3.42 0.329
 2214 99022112 3.42 0.329
 2214 1030000020 3.28946 0
 2214 1040000020 3.28946 0
 2214 104122 3.42 0.329
 2214 4324 3.42 0.329
 2214 4314 3.42 0.329
 2214 4332 3.42 0.329
 2214 4334 3.42 0.329
 2214 104324 3.42 0.329
 2214 104314 3.42 0.329
 2214 1000020030 3.1137 0
 2214 1000010030 3.1137 0
 2214 104322 3.42 0.329
 2214 104312 3.42 0.329
 2214 204126 3.42 0.329
 2214 1010010030 3.1137 0
 2214 1000020040 2.96202 0
 2214 100002004001 2.96202 0
 2214 100002004002 2.96202 0
 2214 100002004003 2.96202 0
 2214 100002004004 2.96202 0
 2214 1000030040 2.96202 0
 2214 100002004005 2.96202 0
 2214 100003004001 2.96202 0
 2214 100002004006 2.96202 0
 2214 1000010040 2.96202 0
 2214 101001004001 2.96202 0
 2214 100002004007 2.96202 0
 2214 100003004002 2.96202 0
 2214 100002004008 2.96202 0
 2214 100003004003 2.96202 0
 2214 101001004002 2.96202 0
 2214 101001004003 2.96202 0
 2214 100002004009 2.96202 0
 2214 100002004010 2.96202 0
 2214 100002004011 2.96202 0
 2214 100002004012 2.96202 0
 2214 100002004013 2.96202 0
 2214 100002004014 2.96202 0
 2214 100002004015 2.96202 0
 2214 1010020040 2.96202 0
 2214 1010010040 2.96202 0
 2214 1000030050 2.83603 0
 2214 1000020050 2.83603 0
 2214 100003005001 2.83603 0
 2214 100002005001 2.83603 0
 2214 10000305002 2.83603 0
 2214 100002005002 2.83603 0
 2214 1000010050 2.83603 0
 2214 1010020050 2.83603 0
 3322 2212 3.42 0.329
 3322 2112 3.42 0.329
 3322 3122 3.42 0.329
 3322 3222 3.42 0.329
 3322 3212 3.42 0.329
 3322 3112 3.42 0.329
 3322 2224 3.42 0.329
 3322 2114 3.42 0.329
 3322 1114 3.42 0.329
 3322 2214 3.42 0.329
 3322 3322 3.42 0.329
 3322 3312 3.42 0.329
 3322 3224 3.42 0.329
 3322 3214 3.42 0.329
 3322 3114 3.42 0.329
 3322 13122 3.42 0.329
 3322 12212 3.42 0.329
 3322 12112 3.42 0.329
 3322 2124 3.42 0.329
 3322 1214 3.42 0.329
 3322 3124 3.42 0.329
 3322 22212 3.42 0.329
 3322 22112 3.42 0.329
 3322 3324 3.42 0.329
 3322 3314 3.42 0.329
 3322 32214 3.42 0.329
 3322 31114 3.42 0.329
 3322 32114 3.42 0.329
 3322 32224 3.42 0.329
 3322 23122 3.42 0.329
 3322 2122 3.42 0.329
 3322 1212 3.42 0.329
 3322 2222 3.42 0.329
 3322 1112 3.42 0.329
 3322 32212 3.42 0.329
 3322 32112 3.42 0.329
 3322 13212 3.42 0.329
 3322 13222 3.42 0.329
 3322 13112 3.42 0.329
 3322 3334 3.42 0.329
 3322 33122 3.42 0.329
 3322 2116 3.42 0.329
 3322 13224 3.42 0.329
 3322 13214 3.42 0.329
 3322 13114 3.42 0.329
 3322 2216 3.42 0.329
 3322 12116 3.42 0.329
 3322 12216 3.42 0.329
 3322 203312 3.42 0.329
 3322 203322 3.42 0.329
 3322 13124 3.42 0.329
 3322 12114 3.42 0.329
 3322 12214 3.42 0.329
 3322 12224 3.42 0.329
 3322 42112 3.42 0.329
 3322 42212 3.42 0.329
 3322 11114 3.42 0.329
 3322 32124 3.42 0.329
 3322 31214 3.42 0.329
 3322 22124 3.42 0.329
 3322 21214 3.42 0.329
 3322 23222 3.42 0.329
 3322 23212 3.42 0.329
 3322 23112 3.42 0.329
 3322 3216 3.42 0.329
 3322 3226 3.42 0.329
 3322 3116 3.42 0.329
 3322 53122 3.42 0.329
 3322 43122 3.42 0.329
 3322 3126 3.42 0.329
 3322 13314 3.42 0.329
 3322 13324 3.42 0.329
 3322 13126 3.42 0.329
 3322 12122 3.42 0.329
 3322 12222 3.42 0.329
 3322 11112 3.42 0.329
 3322 11212 3.42 0.329
 3322 9902114 3.42 0.329
 3322 9902214 3.42 0.329
 3322 1000010020 3.28946 0
 3322 9902112 3.42 0.329
 3322 2226 3.42 0.329
 3322 9902212 3.42 0.329
 3322 1216 3.42 0.329
 3322 2126 3.42 0.329
 3322 1116 3.42 0.329
 3322 23124 3.42 0.329
 3322 9912112 3.42 0.329
 3322 9912212 3.42 0.329
 3322 21112 3.42 0.329
 3322 21212 3.42 0.329
 3322 22122 3.42 0.329
 3322 22222 3.42 0.329
 3322 23224 3.42 0.329
 3322 23114 3.42 0.329
 3322 23214 3.42 0.329
 3322 13116 3.42 0.329
 3322 13216 3.42 0.329
 3322 13226 3.42 0.329
 3322 22114 3.42 0.329
 3322 21114 3.42 0.329
 3322 9912214 3.42 0.329
 3322 9912114 3.42 0.329
 3322 22224 3.42 0.329
 3322 22214 3.42 0.329
 3322 2228 3.42 0.329
 3322 2218 3.42 0.329
 3322 2118 3.42 0.329
 3322 1118 3.42 0.329
 3322 12226 3.42 0.329
 3322 12126 3.42 0.329
 3322 11216 3.42 0.329
 3322 11116 3.42 0.329
 3322 103316 3.42 0.329
 3322 103326 3.42 0.329
 3322 9903334 3.42 0.329
 3322 203326 3.42 0.329
 3322 203316 3.42 0.329
 3322 3118 3.42 0.329
 3322 3228 3.42 0.329
 3322 3218 3.42 0.329
 3322 1010010020 3.28946 0
 3322 1010000020 3.28946 0
 3322 23126 3.42 0.329
 3322 9922212 3.42 0.329
 3322 9902116 3.42 0.329
 3322 9922112 3.42 0.329
 3322 3128 3.42 0.329
 3322 9902216 3.42 0.329
 3322 9922214 3.42 0.329
 3322 9922114 3.42 0.329
 3322 1218 3.42 0.329
 3322 2128 3.42 0.329
 3322 9901118 3.42 0.329
 3322 9901218 3.42 0.329
 3322 9902128 3.42 0.329
 3322 9902228 3.42 0.329
 3322 99022110 3.42 0.329
 3322 99021110 3.42 0.329
 3322 1020000020 3.28946 0
 3322 33224 3.42 0.329
 3322 1020010020 3.28946 0
 3322 33214 3.42 0.329
 3322 33114 3.42 0.329
 3322 203338 3.42 0.329
 3322 99121110 3.42 0.329
 3322 99122110 3.42 0.329
 3322 4122 3.42 0.329
 3322 99031210 3.42 0.329
 3322 99011112 3.42 0.329
 3322 99012112 3.42 0.329
 3322 99022212 3.42 0.329
 3322 99021212 3.42 0.329
 3322 4212 3.42 0.329
 3322 4112 3.42 0.329
 3322 4222 3.42 0.329
 3322 4232 3.42 0.329
 3322 4132 3.42 0.329
 3322 4214 3.42 0.329
 3322 4224 3.42 0.329
 3322 4114 3.42 0.329
 3322 4322 3.42 0.329
 3322 4312 3.42 0.329
 3322 14122 3.42 0.329
 3322 99021112 3.42 0.329
 3322 99022112 3.42 0.329
 3322 1030000020 3.28946 0
 3322 1040000020 3.28946 0
 3322 104122 3.42 0.329
 3322 4324 3.42 0.329
 3322 4314 3.42 0.329
 3322 4332 3.42 0.329
 3322 4334 3.42 0.329
 3322 104324 3.42 0.329
 3322 104314 3.42 0.329
 3322 1000020030 3.1137 0
 3322 1000010030 3.1137 0
 3322 104322 3.42 0.329
 3322 104312 3.42 0.329
 3322 204126 3.42 0.329
 3322 1010010030 3.1137 0
 3322 1000020040 2.96202 0
 3322 100002004001 2.96202 0
 3322 100002004002 2.96202 0
 3322 100002004003 2.96202 0
 3322 100002004004 2.96202 0
 3322 1000030040 2.96202 0
 3322 100002004005 2.96202 0
 3322 100003004001 2.96202 0
 3322 100002004006 2.96202 0
 3322 1000010040 2.96202 0
 3322 101001004001 2.96202 0
 3322 100002004007 2.96202 0
 3322 100003004002 2.96202 0
