# List of eigenvolume parameters to be used in the Diagonal excluded-volume HRG model
# Only particles with a non-zero eigenvolume parameter are listed here
#           pdg      v_i[fm^3]
        9912214        4.03492
       -9912114        4.03492
        9912114        4.03492
          22224        4.03492
         -22214        4.03492
          22214        4.03492
          -2228        4.05594
           2228        4.05594
          -2218        4.05594
           2218        4.05594
          -2118        4.05594
           2118        4.05594
          -1118        4.05594
           1118        4.05594
        9050225        4.06855
        -103326       0.710234
         -12226        4.09797
          12226        4.09797
         -12126        4.09797
          12126        4.09797
         -11216        4.09797
          11216        4.09797
         -11116        4.09797
          11116        4.09797
         103316       0.710234
        -103316       0.710234
         103326       0.710234
           -219        4.13369
            119        4.13369
            219        4.13369
           -431       0.703616
            431       0.703616
           -423        4.21744
            423        4.21744
        9060225        4.22406
            413        4.22461
           -413        4.22461
       -9903334       0.688211
        9903334       0.688211
            229        4.24087
        -203316       0.683929
         203326       0.683929
        -203326       0.683929
         203316       0.683929
          -3118       0.682245
           3118       0.682245
          -3228       0.682245
           3228       0.682245
           3218       0.682245
          -3218       0.682245
            319       0.676248
           -319       0.676248
            329       0.676248
           -329       0.676248
    -1010010020       0.673617
     1010010020       0.673617
     1010000020       0.673289
    -1010000020       0.673289
          23126       0.662659
         -23126       0.662659
       -9902116         4.4132
        9922212         4.4132
        9902116         4.4132
       -9902216         4.4132
       -9922212         4.4132
          -3128       0.659503
       -9922112         4.4132
        9922112         4.4132
           3128       0.659503
        9902216         4.4132
            433       0.655694
           -433       0.655694
       -9922114        4.45523
        9922214        4.45523
       -9922214        4.45523
        9922114        4.45523
         200333        4.57081
          -1218        4.58132
           1218        4.58132
          -2128        4.58132
           2128        4.58132
        9901118        4.62335
       -9901118        4.62335
        9901218        4.62335
       -9901218        4.62335
        9902128        4.62335
       -9902128        4.62335
        9902228        4.62335
       -9902228        4.62335
       99022110        4.67589
      -99022110        4.67589
       99021110        4.67589
      -99021110        4.67589
    -1020000020       0.620778
     1020000020       0.620778
         -33224       0.615536
          33224       0.615536
     1020010020       0.615536
    -1020010020       0.615536
         -33214       0.615536
          33214       0.615536
         -33114       0.615536
          33114       0.615536
        -203338        0.61499
         203338        0.61499
      -99121110        4.79147
      -99122110        4.79147
       99121110        4.79147
       99122110        4.79147
           4122        4.80505
          -4122        4.80505
        9080225         4.8272
          10421         4.8335
         -10421         4.8335
          10431       0.597531
         -10431       0.597531
        9090225        4.93858
      -99031210       0.589343
       99031210       0.589343
       99011112        5.08568
      -99021212        5.08568
      -99012112        5.08568
       99012112        5.08568
       99022212        5.08568
       99021212        5.08568
      -99011112        5.08568
      -99022212        5.08568
          10423        5.08737
         -10423        5.08737
          -4212        5.15482
           4212        5.15482
          -4112        5.15661
           4112        5.15661
          -4222        5.15707
           4222        5.15707
          20433       0.563105
         -20433       0.563105
            425        5.17122
           -425        5.17122
            415        5.18109
           -415        5.18109
          -4232       0.561179
           4232       0.561179
           4132       0.560507
          -4132       0.560507
           4214        5.29058
          -4214        5.29058
           4224        5.29249
          -4224        5.29249
           4114        5.29264
          -4114        5.29264
         -10433        0.54631
          10433        0.54631
            435       0.539082
           -435       0.539082
           4322       0.537138
          -4322       0.537138
           4312       0.536971
          -4312       0.536971
         -14122        5.44767
          14122        5.44767
      -99022112        5.46396
       99021112        5.46396
       99022112        5.46396
      -99021112        5.46396
    -1030000020       0.531042
     1030000020       0.531042
     1040000020          0.527
    -1040000020          0.527
         104122        5.52303
        -104122        5.52303
           4324       0.523502
          -4324       0.523502
          -4314        0.52334
           4314        0.52334
          -4332        0.51386
           4332        0.51386
           4334       0.500725
          -4334       0.500725
        -104324       0.495974
         104324       0.495974
        -104314       0.495672
         104314       0.495672
     1000020030        5.90189
    -1000020030        5.90189
     1000010030        5.90301
    -1000010030        5.90301
         104322       0.491688
        -104322       0.491688
         104312       0.491076
        -104312       0.491076
         204126        6.05581
        -204126        6.05581
            441        6.27073
    -1010010030        0.46302
     1010010030        0.46302
            443         6.5082
          10441        7.17609
          20443        7.37775
          10443        7.40866
            445        7.47337
         100441        7.64429
         100443        7.74642
    -1000020040        7.83317
     1000020040        7.83317
  -100002004001        7.87564
   100002004001        7.87564
  -100002004002        7.87733
   100002004002        7.87733
   100002004003        7.87907
  -100002004003        7.87907
   100002004004         7.8822
  -100002004004         7.8822
     1000030040        7.88224
    -1000030040        7.88224
   100002004005        7.88285
  -100002004005        7.88285
   100003004001        7.88292
  -100003004001        7.88292
   100002004006        7.88413
  -100002004006        7.88413
    -1000010040        7.88424
     1000010040        7.88424
   101001004001        7.88489
  -101001004001        7.88489
  -100002004007         7.8863
   100002004007         7.8863
  -100003004002        7.88661
   100003004002        7.88661
  -100002004008        7.88771
   100002004008        7.88771
   100003004003        7.88823
  -100003004003        7.88823
   101001004002        7.88861
  -101001004002        7.88861
  -101001004003        7.89019
   101001004003        7.89019
  -100002004009         7.8908
   100002004009         7.8908
  -100002004010        7.89267
   100002004010        7.89267
  -100002004011        7.89279
   100002004011        7.89279
  -100002004012        7.89283
   100002004012        7.89283
  -100002004013        7.89336
   100002004013        7.89336
  -100002004014        7.89342
   100002004014        7.89342
   100002004015        7.89599
  -100002004015        7.89599
          30443        7.93051
    -1010020040       0.353198
     1010020040       0.353198
         100445        8.24259
    -1010010040        0.35308
     1010010040        0.35308
        9000443        8.48805
        9010443        8.80748
        9020443        9.29083
    -1000030050        9.80852
     1000030050        9.80852
    -1000020050        9.80936
     1000020050        9.80936
  -100003005001        9.81165
   100003005001        9.81165
   100002005001        9.81203
  -100002005001        9.81203
    10000305002        9.84397
   -10000305002        9.84397
   100002005002        9.84475
  -100002005002        9.84475
     1000010050        9.85833
    -1000010050        9.85833
    -1010020050       0.286154
     1010020050       0.286154
