# List of eigenvolume parameters to be used in the Diagonal excluded-volume HRG model
# Only particles with a non-zero eigenvolume parameter are listed here
#           pdg      v_i[fm^3]
          -2228        4.09797
           2228        4.09797
          -2218        4.09797
          33314       0.710234
           -431       0.703631
            431       0.703631
            423        4.21776
           -423        4.21776
            413        4.22469
           -413        4.22469
         100335        4.22616
            119        4.22616
            219        4.22616
           -219        4.22616
           3326       0.683929
          -3326       0.683929
            229        4.25558
           3316       0.683929
          -3316       0.683929
           3118       0.682245
          -3118       0.682245
           3228       0.682245
          -3228       0.682245
           3218       0.682245
          -3218       0.682245
            319        0.67724
           -319        0.67724
            329        0.67724
           -329        0.67724
     1010000020       0.673289
    -1010000020       0.673289
           3128       0.659503
          -3128       0.659503
         -23126       0.656377
          23126       0.656377
            433       0.655725
           -433       0.655725
         200333        4.57081
           1218        4.60233
          -2128        4.60233
           2128        4.60233
          -1218        4.60233
            -91        4.66538
            -92        4.66538
             92        4.66538
             91        4.66538
    -1020000020       0.620778
     1020000020       0.620778
            -93        4.72843
             93        4.72843
            -94        4.72843
             94        4.72843
         -33214       0.615536
          33224       0.615536
          33114       0.615536
         -33224       0.615536
         -33114       0.615536
          33214       0.615536
          13334        0.61499
         -13334        0.61499
     1010010020       0.614171
    -1010010020       0.614171
          -4122        4.80505
           4122        4.80505
        9060225         4.8272
         -10431       0.597556
          10431       0.597556
          10421        4.87133
         -10421        4.87133
        9070225        4.91546
            911       0.589343
           -911       0.589343
             97        5.08568
            -97        5.08568
             99        5.08568
            -99        5.08568
            910        5.08568
           -910        5.08568
            -98        5.08568
             98        5.08568
          10423        5.08863
         -10423        5.08863
           4112        5.14873
          -4112        5.14873
           4222        5.14873
          -4222        5.14873
           4212        5.14873
          -4212        5.14873
         -20433       0.563105
          20433       0.563105
           -425        5.17521
            425        5.17521
           -415        5.17521
            415        5.17521
           4132       0.560711
          -4132       0.560711
           4232       0.560711
          -4232       0.560711
           4214        5.29584
          -4214        5.29584
           4114        5.29584
          -4114        5.29584
           4224        5.29584
          -4224        5.29584
         -10433        0.54631
          10433        0.54631
            435       0.538495
           -435       0.538495
          -4312       0.536805
           4312       0.536805
          -4322       0.536805
           4322       0.536805
          14122        5.44767
         -14122        5.44767
             96        5.46396
            -96        5.46396
             95        5.46396
            -95        5.46396
           4124         5.5228
          -4124         5.5228
          -4314       0.523435
          -4324       0.523435
           4314       0.523435
           4324       0.523435
           4332        0.51386
          -4332        0.51386
          -4334       0.500725
           4334       0.500725
     1000020030        5.90189
    -1000020030        5.90189
     1000010030        5.90301
    -1000010030        5.90301
            441         6.2701
    -1010010030        0.46302
     1010010030        0.46302
