# List of eigenvolume parameters to be used in the Diagonal excluded-volume HRG model
# Only particles with a non-zero eigenvolume parameter are listed here
#           pdg      v_i[fm^3]
           -219        4.49022
            219        4.49022
            119        4.49022
         100335        4.49022
           3326        4.52148
            229        4.52148
          -3316        4.52148
           3316        4.52148
          -3326        4.52148
          -3118        4.53265
           3118        4.53265
           3218        4.53265
          -3218        4.53265
          -3228        4.53265
           3228        4.53265
           -319        4.56614
            319        4.56614
            329        4.56614
           -329        4.56614
    -1010000020        4.59293
     1010000020        4.59293
           3128        4.68894
          -3128        4.68894
          23126        4.71127
         -23126        4.71127
         200333        4.85641
           1218         4.8899
          -1218         4.8899
           2128         4.8899
          -2128         4.8899
            -92        4.95688
             91        4.95688
             92        4.95688
            -91        4.95688
    -1020000020        4.98145
     1020000020        4.98145
         -33214        5.02387
          33114        5.02387
         -33114        5.02387
          33214        5.02387
          33224        5.02387
             93        5.02387
            -94        5.02387
             94        5.02387
         -33224        5.02387
            -93        5.02387
         -13334        5.02833
          13334        5.02833
    -1010010020        5.03503
     1010010020        5.03503
        9060225        5.12881
        9070225        5.22259
           -911        5.24715
            911        5.24715
             99        5.40345
            -99        5.40345
            910        5.40345
           -910        5.40345
             97        5.40345
            -98        5.40345
            -97        5.40345
             98        5.40345
            -95        5.80536
             95        5.80536
             96        5.80536
            -96        5.80536
     1000020030        6.27066
    -1000020030        6.27066
     1000010030        6.27184
    -1000010030        6.27184
     1010010030        6.67871
    -1010010030        6.67871
     1000020040        8.32261
    -1000020040        8.32261
     1010020040        8.75535
    -1010020040        8.75535
     1010010040        8.75828
    -1010010040        8.75828
     1010020050        10.8067
    -1010020050        10.8067
