# NA49 data (and references) at https://edms.cern.ch/document/1075059/4
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1              1              0              3              0            349        5.09902
              1            211              0              3              0            190        9.05539
              1           -211              0              3              0            221        11.0454
              1            321              0              3              0           40.7        2.30868
              1           -321              0              3              0           10.3       0.223607
              1           3122              0              3              0           27.1        2.20907
              1          -3122              0              3              0           0.16      0.0360555
              1           3312              0              3              0            1.5       0.214009
              1            333              0              3              0           1.89       0.380132
