# NA49 data (and references) at https://edms.cern.ch/document/1075059/4
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1              1              0              3              0            362              8
              1            211              0              3              0            619        35.3553
              1           -211              0              3              0            639        35.3553
              1            321              0              3              0            103        7.07107
              1           -321              0              3              0           51.9        3.55106
              0            313              0              3              0           14.2        3.55106
              0           -313              0              3              0            7.2        2.33452
              1           3122              0              3              0           48.5        8.62453
              1          -3122              0              3              0           3.32        0.33541
              0           3124              0              3              0           1.57           0.44
              1           3312              0              3              0            4.4       0.642884
              1          -3312              0              3              0           0.71      0.0984886
              1           3334              0              3              0           0.59       0.107703
              1          -3334              0              3              0           0.26       0.067082
              1            310              0              3              0             81              4
              1            333              0              3              0           8.46       0.503289
