# NA49 data (and references) at https://edms.cern.ch/document/1075059/4
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1            211              0              3              0             83            4.2
              1           -211              0              3              0           96.5            4.8
              1            321              0              3              0           21.2            0.8
              1           -321              0              3              0            7.8            0.2
              1           2212              0              3              0           42.1              2
              1          -2212              0              3              0           0.16           0.02
              1           3122              0              3              0           14.7            1.2
              1          -3122              0              3              0           0.21           0.03
              1            333              0              3              0           0.94           0.33
              1           3312              0              3              0           1.17           0.18
              1          -3312              0              3              0           0.12           0.01
