# NA49 data (and references) at https://edms.cern.ch/document/1075059/4
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1            211              0              3              0           96.6              6
              1           -211              0              3              0          106.1              6
              1            321              0              3              0           20.1              1
              1           -321              0              3              0           7.58            0.4
              1           2212              0              3              0           41.3            1.1
              1          -2212              0              3              0           0.32           0.03
              1           3122              0              3              0           14.6            1.2
              1          -3122              0              3              0           0.33           0.04
              1            333              0              3              0           1.16           0.21
              1           3312              0              3              0           1.15           0.17
              1          -3312              0              3              0           0.07           0.01
