# NA49 data (and references) at https://edms.cern.ch/document/1075059/4
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1            211              0              3              0           72.9            3.6
              1           -211              0              3              0           84.8            4.2
              1            321              0              3              0           16.4            0.7
              1           -321              0              3              0           5.58           0.13
              1           2212              0              3              0           46.1            2.1
              1          -2212              0              3              0           0.06           0.01
              1           3122              0              3              0           13.4            1.1
              1          -3122              0              3              0            0.1           0.02
              1           3312              0              3              0           0.93           0.16
              1            333              0              3              0           1.17           0.44
