# NA49 data (and references) at https://edms.cern.ch/document/1075059/4
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1              1              0              3              0            349        5.09902
              1            211              0              3              0            293        15.2971
              1           -211              0              3              0            322        16.2788
              1            321              0              3              0           59.1        3.55106
              1           -321              0              3              0           19.2        1.11803
              1           3122              0              3              0           43.1        4.31856
              1          -3122              0              3              0           0.68      0.0761577
              1           3312              0              3              0           2.96       0.411825
              1          -3312              0              3              0           0.13      0.0223607
              1          33340              0              3              0           0.14           0.05
              1            333              0              3              0           2.55       0.254951
