# NA49 data (and references) at https://edms.cern.ch/document/1075059/4
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1            211              0              3              0          170.1              9
              1           -211              0              3              0          175.4              9
              1            321              0              3              0           29.6            1.5
              1           -321              0              3              0           16.8            0.8
              1           2212              0              3              0           29.6            0.9
              1          -2212              0              3              0           1.66           0.17
              1           3122              0              3              0           10.3            1.1
              1          -3122              0              3              0           1.34           0.15
              1           3312              0              3              0           1.56           0.19
              1          -3312              0              3              0           0.35           0.04
              1           3334              0              3              0           0.19           0.03
              1          -3334              0              3              0          0.097           0.02
              1            333              0              3              0           2.44           0.13
