# NA49 data (and references) at https://edms.cern.ch/document/1075059/4
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1              1              0              3              0            349        5.09902
              1            211              0              3              0            241        12.0416
              1           -211              0              3              0            274        14.0357
              1            321              0              3              0           52.9        3.61386
              1           -321              0              3              0             16       0.447214
              1           3122              0              3              0           36.9        3.31361
              1          -3122              0              3              0           0.39      0.0447214
              1           3312              0              3              0           2.42       0.346699
              1          -3312              0              3              0           0.12      0.0360555
              1            333              0              3              0           1.84       0.364005
