# S-matrix phase-shift channel 'piK_I12', wave: S
# pdgid name stable mass deg stat B Q S C |S| |C| width threshold
    99210001  piK_I12[Iz=-1/2,S]            0  0.63557  1  -1  0  0  1  0  1  0  0  0.63557
    99211001  piK_I12[Iz=+1/2,S]            0  0.63557  1  -1  0  1  1  0  1  0  0  0.63557
