# S-matrix phase-shift channel 'piK_I32', wave: D
# pdgid name stable mass deg stat B Q S C |S| |C| width threshold
    99230005  piK_I32[Iz=-3/2,D]            0  0.63557  1  -1  0  -1  1  0  1  0  0  0.63557
    99231005  piK_I32[Iz=-1/2,D]            0  0.63557  1  -1  0  0  1  0  1  0  0  0.63557
    99232005  piK_I32[Iz=+1/2,D]            0  0.63557  1  -1  0  1  1  0  1  0  0  0.63557
    99233005  piK_I32[Iz=+3/2,D]            0  0.63557  1  -1  0  2  1  0  1  0  0  0.63557
