# S-matrix phase-shift channel 'piK_K892', wave: P  (reuses real resonance codes)
# pdgid name stable mass deg stat B Q S C |S| |C| width threshold
         313  piK_K892[Iz=-1/2,P]           0  0.89555  3  -1  0  0  1  0  1  0  0.0473  0.63557
         323  piK_K892[Iz=+1/2,P]           0  0.89555  3  -1  0  1  1  0  1  0  0.0473  0.63557
