# S-matrix phase-shift channel 'piK_I12', wave: S  (reuses real resonance codes)
# pdgid name stable mass deg stat B Q S C |S| |C| width threshold
     9000311  piK_I12[Iz=-1/2,S]            0  0.824  1  -1  0  0  1  0  1  0  0.478  0.63557
     9000321  piK_I12[Iz=+1/2,S]            0  0.824  1  -1  0  1  1  0  1  0  0.478  0.63557
