0.0119          211 -211 111 111     # chi_c1 -> pi+pi- 2pi0 (PDG 1.19%)
0.0115          321 -321 211 -211 111 # chi_c1 -> K+K- pi+pi- pi0 (PDG 1.15%)
0.0104          211 211 211 -211 -211 -211 # chi_c1 -> 3(pi+pi-) (PDG 1.04%)
0.0076          211 211 -211 -211    # chi_c1 -> 2(pi+pi-) (PDG 0.76%)
0.0046          221 211 -211         # chi_c1 -> eta pi+pi- (PDG 0.46%)
0.0045          211 -211 321 -321    # chi_c1 -> pi+pi- K+K- (PDG 0.45%)
0.0035          -11 11 443           # chi_c1 -> e+e- J/psi (PDG 0.35%)
0.0018          321 -321 111         # chi_c1 -> K+K- pi0 (PDG 0.18%)
0.0014          313 -313             # chi_c1 -> K*0 Kbar*0 (PDG 0.14%)
0.0011          321 -321 111 111     # chi_c1 -> K+K- 2pi0 (PDG 0.11%)
0.0011          321 -321 221 111     # chi_c1 -> K+K- eta pi0 (PDG 0.11%)
0.598           211 -211 211 -211 111 # chi_c1 -> catch-all (unmeasured modes)

10443                                    # h(c)(1P) (PDG2025 updated)
12                                       # 12 decay channels
0.6             22 441               # h_c -> gamma eta_c(1S) (PDG 60.0%)
0.0094          211 211 -211 -211 111 # h_c -> 2(pi+pi-) pi0 (PDG 0.94%)
0.0091          211 211 211 -211 -211 -211 111 # h_c -> 3(pi+pi-) pi0 (PDG 0.91%)
0.0083          211 -211 111 221     # h_c -> pi+pi- pi0 eta (PDG 0.83%)
0.0072          211 211 -211 -211 111 221 # h_c -> 2(pi+pi-) pi0 eta (PDG 0.72%)
0.0044          2212 -2212 211 -211 111 # h_c -> p pbar pi+pi- pi0 (PDG 0.44%)
0.0038          321 -321 211 -211 111 # h_c -> K+K- pi+pi- pi0 (PDG 0.38%)
0.0035          -11 11 441           # h_c -> e+e- eta_c (PDG 0.35%)
0.0034          2212 -2212 211 -211  # h_c -> p pbar pi+pi- (PDG 0.34%)
0.0016          211 -211 111         # h_c -> pi+pi- pi0 (PDG 0.16%)
0.0014          22 331               # h_c -> gamma eta'(958) (PDG 0.14%)
0.3479          211 -211 211 -211 111 111 # h_c -> catch-all (unmeasured modes)

445                                      # chi(c2)(1P) (PDG2025 updated)
18                                       # 18 decay channels
0.1949          22 443               # chi_c2 -> gamma J/psi (PDG 19.49%)
0.0186          211 -211 111 111     # chi_c2 -> pi+pi- 2pi0 (PDG 1.86%)
0.0153          211 211 211 -211 -211 -211 # chi_c2 -> 3(pi+pi-) (PDG 1.53%)
0.0117          321 -321 211 -211 111 # chi_c2 -> K+K- pi+pi- pi0 (PDG 1.17%)
